participant,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,log-likelihood,trial_count,mean,median,std,expertise_score,expertise_rank,expertise_label,expertise_category
1,4.569693272727273,0.031118090909090908,0.26294307272727274,0.020719236363636366,1.0257838181818182,0.5082525945454546,2.179168,2475,2.6734919995959596,1.684,3.1563575919804188,0.39081681554589515,6.0,1,Expert
2,4.422763636363636,0.013172796363636365,0.22131927272727275,0.021044272727272727,0.8306098181818182,0.9137552727272727,1.8846287272727271,2315,4.466940689848812,2.904,5.308587878047892,-0.28497698030048674,30.0,0,Novice
3,4.761076363636364,0.007514223636363636,0.23325489090909093,0.01777109090909091,0.8597450909090909,0.4057012090909091,2.023235272727273,2391,3.9987515407779175,2.677,4.071084224156602,0.328906077025979,7.0,1,Expert
4,4.865718181818182,0.027380907272727274,0.20121772727272727,0.02218801818181818,0.9104238181818182,0.7573864981818182,1.8054445454545454,2110,4.943869408530806,3.2535,4.970634830986878,-0.3424297048397462,33.0,0,Novice
5,4.788527090909091,0.0046236945454545455,0.1945848,0.021231618181818183,0.7220821818181818,0.5990584181818183,1.8553525454545456,2018,5.213015873637265,2.449,8.230077871638471,-0.2128120962390397,28.0,0,Novice
6,4.05152,0.004134349090909091,0.19563518181818182,0.018533327272727274,0.8371061818181819,0.8087563636363636,1.7753378909090909,2032,5.060583042322834,3.08,7.899493337088743,-0.4989261166196572,37.0,0,Novice
7,5.153125454545455,0.004238989090909091,0.2505188727272727,0.018600363636363637,0.9873332727272728,0.6443193272727272,2.0478896363636365,2085,4.079736120383693,2.028,8.469337731824426,0.48172934135972706,5.0,1,Expert
8,4.360282727272727,0.022689494545454547,0.2630678545454545,0.026287545454545456,0.7965239999999999,0.602627090909091,2.2181745454545454,2749,2.9635481913423063,1.546,5.4136749347074815,0.0480773646698078,19.0,1,Expert
9,4.4759981818181815,0.004977541818181818,0.2656451454545455,0.023387218181818183,0.857832,0.7134027272727272,2.0901301818181817,2211,4.450230956128449,2.479,7.3269784635738855,0.01030925195349395,21.0,0,Novice
10,4.760632727272728,0.0047299199999999994,0.19318207272727272,0.020206327272727274,0.881012,0.7027670181818182,1.9200730909090908,1967,5.007237155566853,2.752,7.8644701313193055,-0.029604599013563517,22.0,0,Novice
11,5.171000800000001,0.03303814,0.21122964,0.02066166,0.8097566,0.7970514,1.9606594,2061,4.206471130519166,2.124,7.405566069221056,0.185594237619217,14.0,1,Expert
12,3.9022206,0.019286484000000003,0.2820252,0.02276056,0.9590770000000001,0.61136064,2.2345082,2293,3.577020497165286,2.199,4.437646655740259,0.1174670320653813,15.0,1,Expert
13,3.864546,0.016872682,0.24452668,0.01986294,0.7570952,0.7815284,2.007208,2235,3.922870693512304,2.701,3.6092979415655693,-0.18214850064248253,25.0,0,Novice
14,3.614108,0.014545722,0.20548770000000002,0.017848219999999998,0.8246988000000001,0.7216312,1.8474778,2287,3.9571311762133803,2.484,4.161796404302983,-0.4816282549730094,36.0,0,Novice
15,5.247164199999999,0.020669919999999998,0.21510516,0.02024416,0.9158191999999999,0.4975795,1.9548804000000002,2367,3.4872661596958174,2.267,4.848687626744078,0.2291460814831604,11.0,1,Expert
16,4.989036,0.0040512560000000005,0.2183429,0.0187445,0.8686737999999999,0.7186321200000001,1.887525,2223,4.065598740440845,2.239,5.549890631258995,0.08289429732888762,16.0,1,Expert
