,branching factor,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,6.0,0.01,0.18901,0.025613,1.0,0.67367,1.0,0.3,2.5,15.0,2.05825,Fixed branching,human-vs-human,1,1,,
1,2.79,0.01252,0.18811,0.0228,0.90365,0.50057,1.14,0.89499,2.745,19.687,1.66479,Fixed branching,human-vs-human,1,2,,
2,10.0,0.01,0.2,0.02,1.0,0.67514,0.99999,0.5,2.5,7.0697,2.05098,Fixed branching,human-vs-human,1,3,,
3,5.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.95187,Fixed branching,human-vs-human,1,4,,
4,5.0014,0.014,0.12017,0.033969,0.93727,0.5327,0.99944,0.30026,2.4998,14.994,2.25066,Fixed branching,human-vs-human,1,5,,
5,8.0642,0.0046318,0.21021,0.032193,0.25,0.52986,1.1555,2.9612,3.625,13.667,1.8916299999999997,Fixed branching,human-vs-human,2,1,,
6,10.0,0.001,0.18759,0.016323,1.0928,0.65385,0.70012,0.86229,2.6162,14.464,1.6233,Fixed branching,human-vs-human,2,2,,
7,9.6122,0.012357,0.29959,0.01,1.399,0.88666,0.99856,0.33367,4.3629,20.015,2.06988,Fixed branching,human-vs-human,2,3,,
8,4.5503,0.001,0.0,0.038657,0.25,0.52837,0.5168,0.38079,2.2587,13.897,2.35229,Fixed branching,human-vs-human,2,4,,
9,8.2899,0.012648,0.10162,0.02319,0.97385,0.66453,0.8,1.35,5.0,25.453,2.2412599999999996,Fixed branching,human-vs-human,2,5,,
10,5.0,0.011667,0.2,0.01,1.0,0.8,1.0,0.3,5.0,20.0,1.70865,Fixed branching,human-vs-human,3,1,,
11,3.4597,0.01,0.21647,0.019187,1.1556,0.70574,1.0,0.3,2.5,15.0,1.74481,Fixed branching,human-vs-human,3,2,,
12,5.1587,0.014853,0.18889,0.023333,1.0,0.85906,0.8,0.17086,3.5,15.0,1.9779600000000002,Fixed branching,human-vs-human,3,3,,
13,7.0,0.0061141,0.2,0.022298,1.0745,0.8,1.0,0.3,3.3333,30.0,1.78415,Fixed branching,human-vs-human,3,4,,
14,5.9839,0.001,0.2424,0.01,1.8908,0.83898,1.0433,0.27185,2.5758,15.131,1.967,Fixed branching,human-vs-human,3,5,,
15,4.9142,0.005,0.25761,0.01,0.5,0.85691,1.0,0.3,2.5,20.0,2.2675899999999998,Fixed branching,human-vs-human,4,1,,
16,7.5765,0.001,0.26664,0.01852,0.95306,0.94824,1.0447,0.29289,2.5619,19.999,2.3497399999999997,Fixed branching,human-vs-human,4,2,,
17,5.0,0.005,0.30739,0.01,0.80453,0.8,1.1124,0.4,3.3333,15.0,2.1360599999999996,Fixed branching,human-vs-human,4,3,,
18,5.0,0.001,0.4,0.02,1.0,0.69909,1.0,0.3,2.5,15.0,1.87243,Fixed branching,human-vs-human,4,4,,
19,4.241,0.001,0.31667,0.01,0.5,0.8,0.8839,0.3,3.3333,14.347,2.33481,Fixed branching,human-vs-human,4,5,,
20,7.0,0.001,0.1,0.021788,1.0,0.62673,0.8769,0.3,2.5,30.0,1.8336199999999998,Fixed branching,human-vs-human,5,1,,
21,8.5175,0.0072676,0.16289,0.020199,0.92148,0.58342,0.28345,0.21576,4.5039,9.59,1.9626599999999996,Fixed branching,human-vs-human,5,2,,
22,10.0,0.01,0.22253,0.02,0.99999,0.8,0.8,0.3,7.0,20.0,2.2171600000000002,Fixed branching,human-vs-human,5,3,,
23,6.5,0.001,0.0,0.043233,0.25,0.54054,0.72154,0.34019,2.7917,13.667,1.5575100000000002,Fixed branching,human-vs-human,5,4,,
24,9.1813,0.001,0.056333,0.02,1.0,0.49722,0.836,0.3,2.5,30.0,1.55219,Fixed branching,human-vs-human,5,5,,
25,5.6107,0.001,0.0,0.029967,0.82201,0.79925,0.99917,0.30054,2.5855,14.993,1.39582,Fixed branching,human-vs-human,6,1,,
26,4.1175,0.0061112,3.7677e-05,0.017778,0.49334,0.77056,0.99999,0.29554,4.0,21.111,1.36807,Fixed branching,human-vs-human,6,2,,
27,5.5011,0.010332,0.066625,0.022128,0.99972,0.79972,1.0994,0.59979,3.5151,14.997,1.56852,Fixed branching,human-vs-human,6,3,,
28,4.5527,0.0068194,0.021237,0.021663,0.57021,0.80957,1.2282,0.29903,3.248,16.675,0.8782209999999999,Fixed branching,human-vs-human,6,4,,
29,5.0949,0.0029767,0.059054,0.024689,0.52538,0.94708,0.68135,0.2137,3.9056,27.618,1.50552,Fixed branching,human-vs-human,6,5,,
30,5.7535,0.0085355,0.18583,0.013333,0.25,0.40598,1.4105,0.38333,2.4858,13.667,2.1482099999999997,Fixed branching,human-vs-human,7,1,,
31,4.7747,0.001,0.18355,0.020306,0.5,0.57777,1.3333,0.42222,2.7778,15.0,2.2854900000000002,Fixed branching,human-vs-human,7,2,,
32,3.3373,0.0061228,0.099998,0.01,0.71885,0.40001,1.0,0.36668,2.8334,15.0,2.95401,Fixed branching,human-vs-human,7,3,,
33,3.1631,0.0048564,0.31579,0.017006,0.62017,0.61949,1.2006,0.65043,3.6843,16.605,1.69997,Fixed branching,human-vs-human,7,4,,
