,pruning threshold,depth,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,2.9165,2.9385,0.20687,0.020829,1.0353,0.69093,1.0395,0.57433,2.4309,15.316,2.06622,Fixed depth,human-vs-human,1,1,,
1,2.8389,3.0,0.30687,0.02,0.95834,0.56267,1.0389,0.71111,2.774,15.0,1.76022,Fixed depth,human-vs-human,1,2,,
2,3.0,5.0,0.24364,0.015,1.0,0.4,1.1111,0.0,1.8036,20.0,2.15478,Fixed depth,human-vs-human,1,3,,
3,2.8209,2.4537,0.20042,0.015278,1.0465,-0.026336,1.0278,0.49202,2.6267,6.8448,1.9780200000000001,Fixed depth,human-vs-human,1,4,,
4,3.0,3.0,0.3,0.02,1.0,0.64996,1.0667,0.3,2.5,10.852,2.3331299999999997,Fixed depth,human-vs-human,1,5,,
5,2.9392,1.0,0.29018,0.01,0.40646,0.51151,1.0083,1.5777,3.3712,12.748,1.9132399999999996,Fixed depth,human-vs-human,2,1,,
6,6.3251,2.1372,0.4,0.022213,1.6202,0.4,0.65806,0.69379,2.5,10.0,1.66538,Fixed depth,human-vs-human,2,2,,
7,1.8656,3.0,0.2,0.03,0.25,0.8,1.3333,0.3,3.3333,15.0,2.0811400000000004,Fixed depth,human-vs-human,2,3,,
8,2.891,6.0,0.3,0.023333,0.61636,0.53223,1.0,1.4108,2.5,15.0,2.5003599999999997,Fixed depth,human-vs-human,2,4,,
9,5.0,2.3333,0.33766,0.018935,0.9559,0.8,0.80849,0.23093,2.5,5.2874,2.32017,Fixed depth,human-vs-human,2,5,,
10,3.1616,6.0,0.3,0.02,1.0,1.0,1.0,0.3,2.5,10.0,1.70961,Fixed depth,human-vs-human,3,1,,
11,4.5935,6.0,0.56917,0.020903,0.95805,0.75685,1.5153,0.275,3.6079,14.616,1.67502,Fixed depth,human-vs-human,3,2,,
12,3.0,6.0,0.25,0.021406,1.0,0.8,1.1937,0.5,5.0,15.0,1.91656,Fixed depth,human-vs-human,3,3,,
13,2.0276,6.0,0.3296,0.01,0.51999,1.252,1.7219,-0.0017424,4.6432,19.018,1.77748,Fixed depth,human-vs-human,3,4,,
14,2.8391,5.6049,0.31688,0.011484,0.62608,0.82154,0.91987,0.36652,3.7859,16.128,1.9990100000000002,Fixed depth,human-vs-human,3,5,,
