,pruning threshold,inverse iteration number,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,5.2906,0.0083352,0.23388,0.016243,0.92588,0.52124,0.9153,0.24495,2.65,13.684,2.0778600000000003,Fixed iterations,human-vs-human,1,1,,
1,3.1692,0.004322,0.27191,0.016667,0.52727,0.50439,1.4291,0.29008,3.0493,8.5934,1.75369,Fixed iterations,human-vs-human,1,2,,
2,4.915,0.0055503,0.2,0.02,1.0,0.4,1.0,0.33333,2.1387,15.0,2.1033999999999997,Fixed iterations,human-vs-human,1,3,,
3,3.0,0.005,0.2,0.02,0.95422,0.057127,1.2726,0.6,2.5,15.0,1.9258,Fixed iterations,human-vs-human,1,4,,
4,7.0,0.005,0.2,0.02,1.0,0.69495,1.0,0.3,2.5,15.0,2.2864199999999997,Fixed iterations,human-vs-human,1,5,,
5,8.0009,0.01796,0.17807,0.029851,1.0662,0.4,0.64035,1.0829,2.3671,25.185,1.87745,Fixed iterations,human-vs-human,2,1,,
6,5.7311,0.0051527,0.47589,0.027441,1.1565,0.45069,0.64435,0.34845,3.3334,15.0,1.6970199999999998,Fixed iterations,human-vs-human,2,2,,
7,5.7527,0.012147,0.2,0.01,0.99999,0.54946,0.74342,0.6,2.689,180.0,1.9745899999999998,Fixed iterations,human-vs-human,2,3,,
8,10.0,0.019844,0.249,0.033811,1.3979,0.51875,0.67534,0.84677,2.5078,32.887,2.2524699999999998,Fixed iterations,human-vs-human,2,4,,
9,5.3201,0.019566,0.19543,0.01659,0.99376,0.49324,0.70312,0.67523,2.52,14.909,2.0559800000000004,Fixed iterations,human-vs-human,2,5,,
10,2.7672,0.0054102,0.34359,0.01,1.0462,0.83211,1.3583,0.38391,4.6139,14.419,1.7331499999999997,Fixed iterations,human-vs-human,3,1,,
11,3.078,0.005,0.4,0.019444,1.0,0.82922,1.3333,0.3,5.0,30.0,1.70994,Fixed iterations,human-vs-human,3,2,,
12,2.563,0.02,0.29446,0.02,1.1667,1.0667,1.3333,0.33333,3.8889,11.667,1.8900299999999999,Fixed iterations,human-vs-human,3,3,,
13,1.8713,0.001,0.3,0.02,1.0,0.8,1.0,0.3,5.0,15.0,1.8973600000000002,Fixed iterations,human-vs-human,3,4,,
14,5.0,0.001,0.2,0.022233,1.0021,0.8,1.0,0.4,2.5964,15.0,2.08522,Fixed iterations,human-vs-human,3,5,,
15,2.4609,0.001,0.28359,0.054882,0.48444,1.0232,1.15,0.13878,2.934,13.016,2.2738899999999997,Fixed iterations,human-vs-human,4,1,,
16,3.0,0.01,0.3,0.01,1.0,0.8,0.8,0.3,2.5,15.0,2.3726499999999997,Fixed iterations,human-vs-human,4,2,,
17,3.0,0.005,0.2,0.025565,0.5,1.0,1.0,0.3,2.5,15.0,2.20709,Fixed iterations,human-vs-human,4,3,,
18,1.5357,0.001,0.3,0.04,0.45931,0.63844,1.0,0.37778,2.5,12.826,1.8731000000000002,Fixed iterations,human-vs-human,4,4,,
19,3.6863,0.005,0.3,0.021545,1.0,0.8,1.0,0.3,2.5,15.0,2.37059,Fixed iterations,human-vs-human,4,5,,
20,2.5187,0.0051138,0.19386,0.014318,0.49232,0.78711,0.46853,0.40808,5.7049,23.421,1.58987,Fixed iterations,human-vs-human,5,1,,
21,7.4168,0.0064021,0.32318,0.02144,1.0188,0.99545,0.40569,0.59181,6.6107,13.533,1.88024,Fixed iterations,human-vs-human,5,2,,
22,5.0,0.001,0.15045,0.022111,0.65103,0.62974,0.14977,0.2687,4.3708,15.0,2.24811,Fixed iterations,human-vs-human,5,3,,
23,5.0,0.001,0.28667,0.021734,0.5,0.65287,1.3333,0.3,2.5,15.0,1.7066,Fixed iterations,human-vs-human,5,4,,
24,8.0,0.0038183,0.3,0.022507,0.5,0.4,1.0,0.3,3.3333,15.0,1.73322,Fixed iterations,human-vs-human,5,5,,
25,8.0371,0.0047366,0.1,0.01,0.33313,0.79409,1.0,0.25555,3.7558,20.0,1.52469,Fixed iterations,human-vs-human,6,1,,
26,5.9929,0.001,0.14675,0.013268,0.70548,0.49707,1.3366,0.0,3.089,12.307,1.3831700000000002,Fixed iterations,human-vs-human,6,2,,
27,7.0938,0.01,0.20486,0.02,1.0556,0.8,1.0,0.6,3.3333,15.0,1.6822,Fixed iterations,human-vs-human,6,3,,
28,3.871,0.01,0.2,0.02,0.69749,0.8,0.8,0.3,2.5,15.0,1.0086330000000001,Fixed iterations,human-vs-human,6,4,,
29,5.025,0.001,0.089499,0.01,0.5625,0.5,0.5,0.17825,3.375,19.0,1.52018,Fixed iterations,human-vs-human,6,5,,
30,3.0,0.018751,0.39689,0.026667,1.0,0.51917,1.0,0.3,2.7635,15.0,2.2625,Fixed iterations,human-vs-human,7,1,,
31,2.9703,0.0021884,0.38992,0.025514,1.0729,0.45833,0.725,0.33167,3.4792,14.333,2.2830800000000004,Fixed iterations,human-vs-human,7,2,,
32,6.3167,0.0072429,0.22224,0.03534,1.0077,0.70195,0.81112,-0.022801,4.2214,15.418,3.35871,Fixed iterations,human-vs-human,7,3,,
33,3.1938,0.02,0.39639,0.01,1.0,0.4,1.0673,0.3,2.5,10.0,1.8112300000000001,Fixed iterations,human-vs-human,7,4,,
34,2.3351,0.0055833,0.2786,0.048361,0.43088,0.35785,1.939,0.20942,2.742,18.895,2.0153999999999996,Fixed iterations,human-vs-human,7,5,,
35,3.0702,0.0127,0.26679,0.019599,0.89655,0.28319,0.36618,0.88317,5.041,14.915,1.6032499999999998,Fixed iterations,human-vs-human,8,1,,
36,4.9898,0.0076042,0.11816,0.024476,0.9973,0.39214,0.48566,0.66358,6.9358,14.967,2.69495,Fixed iterations,human-vs-human,8,2,,
37,6.9993,0.007523,0.20007,0.020004,1.0563,0.39987,0.54802,2.0999,7.0004,39.998,1.28432,Fixed iterations,human-vs-human,8,3,,
38,4.3777,0.0076703,0.25947,0.019562,0.68219,0.41783,0.69111,0.39524,6.6682,24.628,1.9532900000000002,Fixed iterations,human-vs-human,8,4,,
