,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,2.8756,0.01,0.2,0.018024,1.0,0.8,1.0,0.3,2.5,15.0,2.09213,Main model,human-vs-human,1,1,,
1,3.0,0.014489,0.2,0.02,1.0,0.52292,1.0,0.3,2.5,15.0,1.84272,Main model,human-vs-human,1,2,,
2,3.0,0.01,0.2,0.03,1.0,0.4,1.0,0.3,2.5,15.0,2.0922899999999998,Main model,human-vs-human,1,3,,
3,2.2942,0.02,0.16667,0.02,0.95368,0.56112,1.0,0.3,2.5,15.0,1.93628,Main model,human-vs-human,1,4,,
4,5.0,0.0030854,0.2,0.01,1.0,0.8,1.0,0.3,2.5,15.0,2.29543,Main model,human-vs-human,1,5,,
5,5.1639,0.0033167,0.22222,0.01,0.9514,0.36112,0.84999,1.3208,3.2362,20.583,1.82467,Main model,human-vs-human,2,1,,
6,10.0,0.0052167,0.36852,0.019109,1.0,0.29691,1.0667,1.1543,5.1852,18.333,1.7097200000000001,Main model,human-vs-human,2,2,,
7,5.2969,0.0031423,0.061057,0.012438,1.6539,0.53374,0.47551,0.71211,1.869,17.884,1.94268,Main model,human-vs-human,2,3,,
8,7.5756,0.0059602,0.2,0.015,1.2871,0.4,0.8,0.44997,3.3333,15.0,2.3684900000000004,Main model,human-vs-human,2,4,,
9,7.3052,0.005,0.3748,0.035,1.2518,0.6022,1.0,1.0,2.5,9.6622,2.0500599999999998,Main model,human-vs-human,2,5,,
10,3.5771,0.005,0.3,0.02,1.0,1.0,1.0,0.6,5.0,15.0,1.7827300000000001,Main model,human-vs-human,3,1,,
11,3.0159,0.0018042,0.4,0.02,0.97779,0.8,1.0,0.4,3.5,14.493,1.7961300000000002,Main model,human-vs-human,3,2,,
12,2.0636,0.011884,0.20718,0.01,1.0,0.85576,1.0573,0.92471,3.5,15.0,1.9011500000000001,Main model,human-vs-human,3,3,,
13,2.2222,0.0055,0.31666,0.01,1.0,0.9291,1.1889,0.3,3.8778,30.0,1.79769,Main model,human-vs-human,3,4,,
14,3.0,0.005,0.3,0.02,0.96636,0.8,1.0,0.3,5.0,15.0,1.95788,Main model,human-vs-human,3,5,,
15,1.0081,0.001,0.29418,0.029999,0.37498,0.92789,0.99994,0.0096625,3.3334,14.999,2.33359,Main model,human-vs-human,4,1,,
16,2.9406,0.0045497,0.29365,0.021111,0.7304,0.8,1.0,0.27654,2.5,15.0,2.3741600000000003,Main model,human-vs-human,4,2,,
17,5.0,0.0097325,0.45174,0.035124,1.2835,1.0667,1.0,0.3,3.5,17.515,2.20254,Main model,human-vs-human,4,3,,
18,4.2617,0.010318,0.41056,0.14459,1.0153,0.78427,0.98249,0.41137,5.0309,14.955,1.9098199999999999,Main model,human-vs-human,4,4,,
19,5.0,0.001,0.4,0.02,1.1576,1.0667,0.48307,0.3,3.3333,14.126,2.34308,Main model,human-vs-human,4,5,,
20,5.0,0.001,0.2,0.02,1.0,0.54661,0.87594,0.50079,2.5,20.0,1.8231399999999998,Main model,human-vs-human,5,1,,
21,5.2805,0.0036667,0.066667,0.023454,0.68408,0.63117,0.60734,0.82452,2.8022,13.618,1.9649100000000004,Main model,human-vs-human,5,2,,
22,7.6785,0.0023333,0.3,0.02,0.625,0.8,0.99999,1.0,11.915,10.0,2.25394,Main model,human-vs-human,5,3,,
23,1.6936,0.001,0.071194,0.018219,0.67891,0.26379,0.575,0.4625,2.6313,13.0,1.61577,Main model,human-vs-human,5,4,,
24,8.0598,0.001,0.19793,0.02,0.80589,0.8,0.43468,0.3,5.0,15.0,1.56195,Main model,human-vs-human,5,5,,
25,7.0,0.0014445,0.0,0.018333,0.33333,0.86667,0.90786,0.3,4.8603,15.0,1.48636,Main model,human-vs-human,6,1,,
26,3.1141,0.01,0.0,0.033312,0.47822,0.8,1.0806,0.44444,3.2222,8.7394,1.48454,Main model,human-vs-human,6,2,,
27,5.1727,0.001,0.0,0.01836,0.97381,0.8,1.0,0.3,2.5,15.0,1.74074,Main model,human-vs-human,6,3,,
28,5.8333,0.0017018,0.26676,0.01,1.0303,0.8,0.94481,0.3,2.5,15.0,0.967208,Main model,human-vs-human,6,4,,
29,3.1522,0.0040107,0.012412,0.02,1.0,0.8,1.0,0.3,3.3483,40.0,1.7888599999999997,Main model,human-vs-human,6,5,,
30,5.1711,0.017481,0.38547,0.010726,1.4051,0.38268,1.4637,-0.00095086,3.3115,11.29,2.2251800000000004,Main model,human-vs-human,7,1,,
31,3.7734,0.001,0.33332,0.012818,0.74998,0.35004,1.5,0.39009,1.6251,11.0,2.32749,Main model,human-vs-human,7,2,,
32,7.4254,0.011249,0.11769,0.017632,1.0942,0.70308,1.0265,0.35234,5.4787,15.862,3.09701,Main model,human-vs-human,7,3,,
33,6.6892,0.0089523,0.35979,0.016667,2.1118,0.2278,0.51235,0.36148,3.5201,14.296,1.57716,Main model,human-vs-human,7,4,,
34,3.0661,0.01,0.3,0.02,1.0,0.52125,1.1095,0.3,5.0,19.56,1.95926,Main model,human-vs-human,7,5,,
35,3.4586,0.0057664,0.14134,0.028149,0.7914,0.14673,-0.050762,0.55288,3.7505,16.907,1.79967,Main model,human-vs-human,8,1,,
36,7.0658,0.001,0.24146,0.039001,0.8346,-0.29051,0.85742,0.38918,5.0291,9.5635,2.77813,Main model,human-vs-human,8,2,,
37,1.4491,0.010838,0.093142,0.01,0.29002,0.27463,0.77547,0.88808,5.8273,18.861,1.57541,Main model,human-vs-human,8,3,,
38,1.9166,0.02,0.1692,0.01,1.0781,0.24542,0.7288,1.2957,3.8396,15.0,1.9075199999999999,Main model,human-vs-human,8,4,,
39,5.3438,0.0023476,0.13423,0.025998,0.73946,0.12363,0.49106,1.2422,5.5528,35.195,1.72804,Main model,human-vs-human,8,5,,
40,3.4822,0.011602,0.19877,0.019349,0.25,0.80277,1.0526,0.32285,2.5054,-34.975,3.02992,Main model,human-vs-human,9,1,,
41,10.0,0.010002,0.3762,0.025928,1.2539,0.35892,0.99989,1.177,2.5002,-23.892,3.166480000000001,Main model,human-vs-human,9,2,,
42,5.0,0.015,0.3,0.03,0.8353,0.40324,1.0,1.35,2.5,15.0,3.0502100000000003,Main model,human-vs-human,9,3,,
