,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,10.0,0.001,0.2929,0.02,0.5,0.4,1.5,0.25508,20.0,2.21658,No 3-in-a-row,human-vs-human,1,1,,
1,8.8058,0.001,0.29352,0.019969,0.89905,0.45815,1.0374,0.29897,15.013,2.2257700000000002,No 3-in-a-row,human-vs-human,1,2,,
2,5.0039,0.001,0.50401,0.0348,0.25,0.5972,1.9968,0.2979,6.9793,2.3054500000000004,No 3-in-a-row,human-vs-human,1,3,,
3,3.0,0.001,0.16667,0.02,0.25,0.71238,1.3333,0.4,15.0,2.2139800000000003,No 3-in-a-row,human-vs-human,1,4,,
4,10.0,0.001,0.24967,0.02,0.25,0.4,1.2759,0.5,26.667,2.40257,No 3-in-a-row,human-vs-human,1,5,,
5,5.7468,0.001,0.0,0.038686,0.25,0.16767,1.1014,1.8375,10.029,1.94923,No 3-in-a-row,human-vs-human,2,1,,
6,10.0,0.001,0.4,0.02,0.99999,0.4,0.8,1.0291,15.0,2.19163,No 3-in-a-row,human-vs-human,2,2,,
7,7.5864,0.001,0.6,0.022713,2.0,0.60527,1.0,0.3,15.0,2.3762,No 3-in-a-row,human-vs-human,2,3,,
8,5.0,0.0019296,0.3,0.03,1.0,0.8,1.0,0.6,30.0,2.66912,No 3-in-a-row,human-vs-human,2,4,,
9,7.0,0.001,0.32137,0.021351,0.25,0.8,1.1934,0.3,15.0,2.1385499999999995,No 3-in-a-row,human-vs-human,2,5,,
10,2.9974,0.001,0.19916,0.01,0.25,0.80189,1.5026,0.29863,15.017,1.9549500000000002,No 3-in-a-row,human-vs-human,3,1,,
11,2.5128,0.001,0.37962,0.01,1.1642,0.79784,0.88674,0.00050211,5.4548,2.2534699999999996,No 3-in-a-row,human-vs-human,3,2,,
12,10.0,0.001,0.51184,0.022263,1.0,0.8,2.0,0.12634,-2.4141,2.3534499999999996,No 3-in-a-row,human-vs-human,3,3,,
13,4.1169,0.001,0.58101,0.031163,0.50001,1.0667,1.7135,0.12987,6.1521,2.11891,No 3-in-a-row,human-vs-human,3,4,,
14,4.9997,0.001,0.1338,0.23979,0.25,0.8004,2.0004,0.84717,14.996,2.2427099999999998,No 3-in-a-row,human-vs-human,3,5,,
15,2.2294,0.001,0.45957,0.02827,0.26911,1.001,2.2687,0.83851,15.245,2.34412,No 3-in-a-row,human-vs-human,4,1,,
16,8.1878,0.0020999,0.32998,0.24657,1.9563,0.84496,1.05,0.26753,14.6,2.72298,No 3-in-a-row,human-vs-human,4,2,,
17,7.0,0.010649,0.4,0.02,1.1667,0.8,1.0,0.3,-17.672,2.36906,No 3-in-a-row,human-vs-human,4,3,,
18,10.0,0.012554,0.26952,0.17178,2.0,1.0667,1.0,0.3,6.5094,2.11925,No 3-in-a-row,human-vs-human,4,4,,
19,5.0,0.0055,0.62629,0.03,1.4657,1.1024,1.5139,0.6,-13.743,2.3883400000000004,No 3-in-a-row,human-vs-human,4,5,,
20,4.9351,0.001,0.30022,0.01,0.25,0.78965,1.9946,0.19263,14.88,2.08645,No 3-in-a-row,human-vs-human,5,1,,
21,4.8768,0.001,0.3,0.017981,0.25,0.62657,0.8,0.41281,15.0,2.12502,No 3-in-a-row,human-vs-human,5,2,,
22,5.0956,0.001,0.51104,0.019998,0.48842,0.91358,1.1857,0.29992,18.332,2.22304,No 3-in-a-row,human-vs-human,5,3,,
23,4.7757,0.001,0.3083,0.01,0.25,0.53333,1.5063,0.3,9.3793,2.2833999999999994,No 3-in-a-row,human-vs-human,5,4,,
24,7.6206,0.001,0.44086,0.012501,0.25,0.77355,1.6665,0.035941,15.987,2.0389,No 3-in-a-row,human-vs-human,5,5,,
25,7.0001,0.001,0.11214,0.01,0.25,0.8,1.4766,0.3,15.0,1.5241900000000002,No 3-in-a-row,human-vs-human,6,1,,
26,4.9864,0.001,0.16667,0.01,0.58333,1.0667,1.0,0.18731,15.0,1.7487199999999998,No 3-in-a-row,human-vs-human,6,2,,
27,9.9999,0.001,0.1,0.01,0.25,0.8,1.0,0.3,16.667,1.95669,No 3-in-a-row,human-vs-human,6,3,,
28,7.0829,0.0029734,0.51523,0.01,0.37295,0.75625,1.4748,0.071262,18.939,1.23478,No 3-in-a-row,human-vs-human,6,4,,
29,7.0,0.001,0.2,0.02,0.5,0.8,1.5,0.3,15.0,1.9271100000000003,No 3-in-a-row,human-vs-human,6,5,,
30,4.7416,0.0099882,0.26034,0.019494,1.4377,0.35816,1.3396,0.39696,14.963,2.6086300000000002,No 3-in-a-row,human-vs-human,7,1,,
31,3.5303,0.001,0.0,0.01,0.25,0.61758,1.4982,0.62383,10.989,2.36573,No 3-in-a-row,human-vs-human,7,2,,
32,6.5336,0.0098349,0.26619,0.020006,1.6571,0.75886,0.79916,0.58109,15.008,2.8909000000000002,No 3-in-a-row,human-vs-human,7,3,,
33,8.9999,0.010186,0.20793,0.01,2.0334,0.68358,0.97778,0.3,10.556,2.3600899999999996,No 3-in-a-row,human-vs-human,7,4,,
34,5.8407,0.0079115,0.54999,0.013252,2.8084,0.68436,0.99657,0.30223,6.8552,2.53078,No 3-in-a-row,human-vs-human,7,5,,
35,4.3161,0.001,0.7788,0.03,1.2882,0.2659,1.5,0.58751,12.444,2.20104,No 3-in-a-row,human-vs-human,8,1,,
36,7.1836,0.001,0.0,0.036666,0.46264,0.31342,1.4375,0.76042,17.333,3.08475,No 3-in-a-row,human-vs-human,8,2,,
37,7.4625,0.001,0.5396,0.014368,1.1024,0.48195,1.4504,0.2239,15.937,1.8850400000000005,No 3-in-a-row,human-vs-human,8,3,,
38,4.9468,0.0038097,0.18707,0.02,0.25,0.53333,1.4455,0.3,6.1328,2.3254599999999996,No 3-in-a-row,human-vs-human,8,4,,
39,5.0,0.0019374,0.55731,0.018333,1.0,0.44444,0.8,0.4,15.0,2.3828500000000004,No 3-in-a-row,human-vs-human,8,5,,
40,3.0,0.01,0.2,0.021101,0.25,0.39019,1.3333,0.017335,15.0,3.0805499999999997,No 3-in-a-row,human-vs-human,9,1,,
41,6.999,0.010005,0.53353,0.022369,1.0587,0.34552,0.60227,0.30017,-16.426,3.05863,No 3-in-a-row,human-vs-human,9,2,,
42,5.3114,0.018944,0.1,0.3331,1.7657,0.8,0.82934,0.3,15.0,3.38489,No 3-in-a-row,human-vs-human,9,3,,
43,8.0228,0.019874,0.2037,0.020864,0.80634,0.68306,0.99074,0.29398,-6.3204,3.0093400000000003,No 3-in-a-row,human-vs-human,9,4,,
44,5.9936,0.023333,0.11954,0.02,0.25,0.3882,1.0,0.6,15.0,2.4038,No 3-in-a-row,human-vs-human,9,5,,
45,3.658,0.0083611,0.18019,0.018333,1.0,0.52335,0.36811,0.66667,4.0351,2.69649,No 3-in-a-row,human-vs-human,10,1,,
46,9.9999,0.001,0.2,0.02,1.0,0.8,1.0,0.3,15.0,3.12952,No 3-in-a-row,human-vs-human,10,2,,
47,2.9824,0.001,0.0,0.027972,1.0079,0.36773,0.34108,0.20778,15.072,1.7689,No 3-in-a-row,human-vs-human,10,3,,
48,5.3583,0.001,0.4,0.01,1.2711,0.35,-0.080274,0.71998,12.038,2.86715,No 3-in-a-row,human-vs-human,10,4,,
49,8.975,0.001,0.023115,0.01,1.3125,0.51381,0.76283,0.875,15.27,3.08616,No 3-in-a-row,human-vs-human,10,5,,
50,5.9099,0.001,0.026794,0.03,0.25,1.5,2.2484,1.375,13.197,2.3320800000000004,No 3-in-a-row,human-vs-human,11,1,,
51,5.0,0.001,0.2,0.01,1.0,0.93764,1.0,0.7918,30.0,1.8945599999999998,No 3-in-a-row,human-vs-human,11,2,,
52,4.0216,0.001,0.54378,0.01,1.0002,0.79909,1.3323,0.59943,13.339,1.92482,No 3-in-a-row,human-vs-human,11,3,,
53,7.0454,0.0020009,0.32408,0.018333,1.0,0.8,1.1111,0.3,16.664,2.42629,No 3-in-a-row,human-vs-human,11,4,,
54,5.0819,0.001,0.21111,0.01,1.2499,0.825,0.85214,1.1175,15.222,2.0212700000000003,No 3-in-a-row,human-vs-human,11,5,,
55,6.96,0.011074,0.20277,0.01,0.25,0.81604,0.97223,0.30471,14.778,1.84007,No 3-in-a-row,human-vs-human,12,1,,
56,7.6362,0.001,0.2,0.019819,0.52083,0.65232,0.77202,0.56389,13.17,1.6278400000000002,No 3-in-a-row,human-vs-human,12,2,,
57,10.0,0.0098327,0.85151,0.01,0.49538,0.79167,-5.975,0.29853,15.073,2.48273,No 3-in-a-row,human-vs-human,12,3,,
58,10.0,0.0045789,0.34758,0.01,0.25,1.0363,0.35915,0.45275,5.3524,2.51633,No 3-in-a-row,human-vs-human,12,4,,
59,4.7203,0.0018611,0.18982,0.018883,0.43982,0.79197,0.49606,0.034729,11.447,2.27088,No 3-in-a-row,human-vs-human,12,5,,
60,2.8618,0.001,0.11591,0.011112,0.40212,0.48646,1.0613,0.30054,18.343,2.30467,No 3-in-a-row,human-vs-human,13,1,,
61,3.0,0.019997,0.30006,0.01,1.0001,0.44297,0.99991,0.29994,4.2153,2.47134,No 3-in-a-row,human-vs-human,13,2,,
62,3.0,0.0051852,0.25329,0.022132,1.0,0.36296,1.0568,0.44673,15.0,2.6066200000000004,No 3-in-a-row,human-vs-human,13,3,,
63,2.9705,0.0097306,0.43093,0.017837,1.3451,0.50049,1.0431,0.29062,15.098,2.3634899999999996,No 3-in-a-row,human-vs-human,13,4,,
64,2.0574,0.01,0.2,0.02,1.0,0.8,1.0,0.3,15.0,2.66788,No 3-in-a-row,human-vs-human,13,5,,
65,3.0147,0.001,0.20474,0.033895,0.25,0.30272,1.6,0.66667,15.0,1.94477,No 3-in-a-row,human-vs-human,14,1,,
66,2.9459,0.001,0.42959,0.019616,2.3609,-0.10819,0.97222,0.28195,30.222,2.7528799999999998,No 3-in-a-row,human-vs-human,14,2,,
67,3.2059,0.004264,0.50539,0.018559,1.3589,0.30717,1.3333,0.052833,19.012,2.6619,No 3-in-a-row,human-vs-human,14,3,,
68,2.8197,0.005,0.55,0.02,1.1857,0.26233,2.0,1.0,15.0,2.17064,No 3-in-a-row,human-vs-human,14,4,,
69,7.3378,0.010099,0.67825,0.02011,2.9546,0.40385,1.4966,1.0041,-134.96,1.8893799999999998,No 3-in-a-row,human-vs-human,14,5,,
70,6.5274,0.001,0.1,0.09,0.25,0.4,0.8,0.5,15.0,1.89436,No 3-in-a-row,human-vs-human,15,1,,
71,4.9897,0.0040211,0.70412,0.023309,0.99695,0.51651,0.99652,3.5977,10.174,2.33908,No 3-in-a-row,human-vs-human,15,2,,
72,3.0,0.001,0.2,0.016773,0.27778,0.77594,1.5,0.3,15.0,2.16797,No 3-in-a-row,human-vs-human,15,3,,
73,2.4137,0.001327,0.27048,0.024547,0.25,0.62428,1.3567,0.63012,16.629,2.5263,No 3-in-a-row,human-vs-human,15,4,,
74,6.6755,0.001,0.62578,0.029063,0.25,1.2415,1.6413,2.6021,9.2744,2.58221,No 3-in-a-row,human-vs-human,15,5,,
75,7.4843,0.0046768,0.094444,0.02,0.33333,0.8,1.643,2.0238,10.0,2.7859000000000003,No 3-in-a-row,human-vs-human,16,1,,
