,pruning threshold,stopping probability,feature drop rate,lapse rate,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,5.0641,0.0049229,0.10445,0.017738,0.38467,1.0222,0.68463,2.4581,14.826,2.0858099999999995,No active scaling,human-vs-human,1,1,,
1,4.6697,0.0049977,0.10896,0.028207,0.52548,1.3102,0.53361,2.5784,14.641,1.8448200000000003,No active scaling,human-vs-human,1,2,,
2,7.5,0.001,0.24572,0.024384,0.4,1.0,0.3,2.5,15.0,2.13277,No active scaling,human-vs-human,1,3,,
3,3.0,0.01,0.2,0.03,0.59342,1.0,0.81,3.3333,15.0,1.9140099999999998,No active scaling,human-vs-human,1,4,,
4,3.0,0.02,0.2,0.02,0.52855,1.0,0.4,3.3333,15.0,2.28283,No active scaling,human-vs-human,1,5,,
5,6.0,0.0075,0.2,0.021535,0.65531,0.24003,0.6,2.5,6.4755,1.94723,No active scaling,human-vs-human,2,1,,
6,7.0,0.0074868,0.472,0.02,0.5496,0.91098,1.5747,3.6817,20.0,1.73463,No active scaling,human-vs-human,2,2,,
7,5.1969,0.0072905,0.046653,0.033872,0.64535,0.9032,0.81178,2.6694,16.008,1.9479600000000001,No active scaling,human-vs-human,2,3,,
8,4.1006,0.0055101,0.096882,0.016052,0.25156,0.54081,0.96787,2.7488,20.199,2.3457500000000002,No active scaling,human-vs-human,2,4,,
9,7.0,0.001,0.4,0.03,0.61504,1.0433,0.3,2.5,21.961,2.19031,No active scaling,human-vs-human,2,5,,
10,2.7647,0.0073772,0.29401,0.01,0.9,1.0053,0.3824,4.6785,18.098,1.8143600000000002,No active scaling,human-vs-human,3,1,,
11,3.0503,0.005,0.2,0.02,0.8,1.0923,0.3,2.5,15.0,1.8354599999999999,No active scaling,human-vs-human,3,2,,
12,2.9987,0.0050033,0.19899,0.014975,0.79774,0.99749,0.49812,3.4159,15.02,1.9324999999999999,No active scaling,human-vs-human,3,3,,
13,2.8451,0.001,0.30369,0.01,0.8,1.1819,0.4,3.5,15.0,1.7967599999999997,No active scaling,human-vs-human,3,4,,
14,2.3578,0.0049986,0.25283,0.01,0.86841,1.011,0.43832,3.3691,14.603,1.9532700000000003,No active scaling,human-vs-human,3,5,,
15,3.103,0.001,0.22982,0.01757,0.8,1.113,0.6,2.5,15.0,2.32489,No active scaling,human-vs-human,4,1,,
16,3.544,0.001,0.25474,0.047322,1.0348,0.76882,0.39808,2.1469,16.204,2.4145399999999997,No active scaling,human-vs-human,4,2,,
17,5.0,0.005,0.2,0.02,0.8,1.0,0.3,2.5,15.0,2.31083,No active scaling,human-vs-human,4,3,,
18,3.0,0.012973,0.34496,0.02,0.93664,0.80799,0.3,2.5,20.0,1.84132,No active scaling,human-vs-human,4,4,,
19,5.5651,0.0085055,0.33678,0.01,0.8,0.66424,0.4,4.1203,15.0,2.3926800000000004,No active scaling,human-vs-human,4,5,,
20,8.3495,0.0082998,0.2,0.04,0.8,0.49672,0.4,5.0,20.0,1.65484,No active scaling,human-vs-human,5,1,,
21,10.0,0.0040883,0.21015,0.02,0.8,0.53879,0.3,7.6996,30.0,1.83781,No active scaling,human-vs-human,5,2,,
22,7.217,0.001,0.20019,0.020011,0.9999,0.82199,0.30036,7.0012,9.997,2.35715,No active scaling,human-vs-human,5,3,,
23,10.0,0.001,0.22418,0.015,0.40002,0.80003,0.30002,3.4999,15.0,1.60198,No active scaling,human-vs-human,5,4,,
24,5.8357,0.001,0.2,0.02,0.8,0.55071,0.3,2.5,15.0,1.70536,No active scaling,human-vs-human,5,5,,
25,9.45,0.001,0.16916,0.019444,0.8,1.0,0.3,2.7778,20.0,1.42455,No active scaling,human-vs-human,6,1,,
26,2.55,0.001,0.0,0.03,0.8,0.8,0.3,2.5,15.0,1.3122900000000002,No active scaling,human-vs-human,6,2,,
27,4.9888,0.001,0.099244,0.020076,0.7966,1.0038,0.29754,2.4934,10.021,1.76572,No active scaling,human-vs-human,6,3,,
28,5.0,0.003,0.1278,0.02,0.8,1.1225,0.3,2.9074,15.0,0.939302,No active scaling,human-vs-human,6,4,,
29,2.7414,0.0019151,0.021746,0.01,0.68065,0.86739,0.4461,2.9919,13.573,1.7538700000000003,No active scaling,human-vs-human,6,5,,
30,2.8417,0.005,0.4,0.015,0.62167,0.80435,0.26977,3.5,15.0,2.14365,No active scaling,human-vs-human,7,1,,
31,6.9919,0.010037,0.20099,0.020032,0.59556,0.8628,0.30133,4.9964,29.984,2.2791900000000003,No active scaling,human-vs-human,7,2,,
32,3.1479,0.001,0.16113,0.02,0.4,0.98113,0.3,3.3333,15.292,3.23054,No active scaling,human-vs-human,7,3,,
33,5.0,0.01,0.2,0.03,0.4,0.8,0.092412,5.0,15.0,1.5363499999999999,No active scaling,human-vs-human,7,4,,
34,5.3055,0.0049944,0.39568,0.023128,0.59311,1.0077,0.30502,3.3468,30.062,2.06173,No active scaling,human-vs-human,7,5,,
35,2.5101,0.001,0.16778,0.020067,-0.25506,1.0028,2.0364,4.9941,9.7309,1.71703,No active scaling,human-vs-human,8,1,,
36,4.9907,0.0073627,0.11304,0.02001,-0.074348,0.070056,0.39593,5.0173,15.413,2.75014,No active scaling,human-vs-human,8,2,,
37,4.9999,0.01028,0.3619,0.02,-0.056805,1.0,1.0,5.0,30.0,1.5148300000000001,No active scaling,human-vs-human,8,3,,
38,3.0,0.001,0.21286,0.017528,0.35108,0.66382,0.4,2.5,20.0,1.96387,No active scaling,human-vs-human,8,4,,
39,6.4191,0.0032262,0.21443,0.015,0.4,0.68699,0.43334,5.0,15.0,1.91953,No active scaling,human-vs-human,8,5,,
40,6.0,0.01,0.2,0.02,0.8,1.0,0.3,2.5,15.0,2.87966,No active scaling,human-vs-human,9,1,,
41,3.4245,0.010927,0.2,0.1159,-0.46948,1.2069,0.3,2.5,7.3803,3.49219,No active scaling,human-vs-human,9,2,,
42,3.48,0.011301,0.2,0.021704,0.30534,0.68855,0.6,2.5,15.0,3.15261,No active scaling,human-vs-human,9,3,,
43,2.539,0.0050298,0.20149,0.01,0.34773,0.51718,0.16321,1.0026,15.03,2.4060699999999997,No active scaling,human-vs-human,9,4,,
44,5.2726,0.016137,0.53274,0.02,0.8,1.0,0.3,2.5,15.0,2.51649,No active scaling,human-vs-human,9,5,,
45,7.8221,0.0030029,0.26546,0.025401,0.52207,0.742,0.37325,2.8117,7.3009,2.16837,No active scaling,human-vs-human,10,1,,
46,5.0,0.005,0.2,0.019444,0.67368,1.0,1.5052,2.5,200.0,2.8488499999999997,No active scaling,human-vs-human,10,2,,
47,3.8532,0.001,0.28099,0.016667,0.4,1.0667,1.8668,2.5,15.0,1.2286000000000001,No active scaling,human-vs-human,10,3,,
48,4.7731,0.011385,0.44616,0.020185,0.70364,0.35425,0.35,2.3654,15.615,2.58268,No active scaling,human-vs-human,10,4,,
49,9.9999,0.050741,0.2,0.02,0.88107,1.0,0.3,5.0,15.0,2.73909,No active scaling,human-vs-human,10,5,,
50,2.1,0.0013077,0.015385,0.01,1.2154,0.53847,0.6,2.5256,18.692,2.1628,No active scaling,human-vs-human,11,1,,
51,3.0008,0.001,0.2048,0.019998,0.7997,0.99958,0.39973,4.6657,20.003,1.6897099999999998,No active scaling,human-vs-human,11,2,,
52,7.0,0.0039334,0.2,0.01,0.9367,1.0732,0.3,5.0,15.0,1.7018799999999998,No active scaling,human-vs-human,11,3,,
53,2.55,0.001,0.2,0.02,0.8,1.0,0.3,3.5,20.0,1.72629,No active scaling,human-vs-human,11,4,,
