,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,5.0,0.0067887,0.1,0.015,0.9633,1.0,0.4,2.5,15.0,2.08167,No center,human-vs-human,1,1,,
1,8.0109,0.005338,0.048814,0.040237,0.77606,1.0774,0.69195,2.9479,12.953,1.7922200000000004,No center,human-vs-human,1,2,,
2,4.6616,0.0078519,0.2037,0.020721,0.47299,1.4934,0.47189,3.5,15.0,2.12856,No center,human-vs-human,1,3,,
3,10.0,0.0099999,0.13473,0.017952,0.83533,1.0407,0.24865,2.5,15.0,1.9889400000000002,No center,human-vs-human,1,4,,
4,3.7295,0.010029,0.20065,0.02054,0.87226,1.0011,0.39858,3.0319,16.68,2.2244200000000007,No center,human-vs-human,1,5,,
5,5.0001,0.0071518,0.21953,0.02,1.1667,0.69249,0.4,2.5,15.0,1.9215900000000001,No center,human-vs-human,2,1,,
6,10.0,0.0091087,0.31398,0.026511,1.6572,1.093,0.9144,3.0697,17.604,1.7452200000000002,No center,human-vs-human,2,2,,
7,7.0,0.01,0.16667,0.02,1.5,1.0,0.6,2.5,15.0,2.10639,No center,human-vs-human,2,3,,
8,10.0,0.0085,0.22634,0.022013,2.1111,0.84108,0.31866,2.5,30.0,2.41163,No center,human-vs-human,2,4,,
9,4.137,0.01,0.19675,0.02,0.99999,0.78105,1.5009,3.5,16.991,2.10106,No center,human-vs-human,2,5,,
10,2.4232,0.0017378,0.19278,0.016241,0.95853,1.2663,0.56634,4.0926,21.75,1.88413,No center,human-vs-human,3,1,,
11,3.0,0.0013895,0.26667,0.01,1.0,1.2402,0.3,2.5,19.536,1.8917300000000001,No center,human-vs-human,3,2,,
12,2.5146,0.0016253,0.25011,0.026674,1.1096,1.1253,0.21858,3.1141,28.998,2.11952,No center,human-vs-human,3,3,,
13,3.0006,0.002333,0.10006,0.01,0.99973,1.0003,0.3002,2.8463,15.003,1.8767099999999999,No center,human-vs-human,3,4,,
14,3.4222,0.001,0.266,0.015,1.0778,1.4815,0.36354,4.6667,20.0,2.0374600000000003,No center,human-vs-human,3,5,,
15,3.0,0.001,0.43664,0.02,1.0,1.3834,0.21932,3.3333,15.0,2.48057,No center,human-vs-human,4,1,,
16,2.501,0.001,0.26569,0.02,1.0,1.0,0.6,2.5,20.0,2.35852,No center,human-vs-human,4,2,,
17,4.7001,0.005,0.4,0.02,1.1531,1.3333,0.3,2.9253,15.0,2.2715199999999998,No center,human-vs-human,4,3,,
18,6.5799,0.001,0.59061,0.024285,1.4016,0.71253,0.33809,3.7008,-133.91,2.03993,No center,human-vs-human,4,4,,
19,3.3999,0.0023333,0.2,0.035,0.82128,1.315,0.3746,3.8704,15.0,2.50197,No center,human-vs-human,4,5,,
20,6.5056,0.001,0.331,0.026667,0.89062,0.875,0.21875,3.3862,21.312,1.8813400000000002,No center,human-vs-human,5,1,,
21,2.6981,0.0050297,0.090622,0.034537,1.0081,0.80833,0.73554,3.4299,14.926,2.08182,No center,human-vs-human,5,2,,
22,9.9999,0.001,0.1,0.02,1.0084,0.56997,0.3,3.6783,15.0,2.41053,No center,human-vs-human,5,3,,
23,5.8333,0.001,0.22131,0.01,0.58333,1.0667,0.3,2.5,20.0,1.7261399999999998,No center,human-vs-human,5,4,,
24,7.7482,0.0050234,0.33825,0.018725,0.94422,0.5553,0.95219,5.1116,6.9128,1.8316,No center,human-vs-human,5,5,,
25,7.1741,0.001,0.10777,0.016516,0.53174,1.1035,0.29708,7.7916,12.304,1.6131999999999997,No center,human-vs-human,6,1,,
26,1.55,0.001,0.019516,0.026667,0.5,1.4518,1.0,5.5556,30.0,1.40881,No center,human-vs-human,6,2,,
27,8.4911,0.0010833,0.15413,0.02,0.63391,1.6207,0.3,3.7332,40.0,1.66674,No center,human-vs-human,6,3,,
28,2.025,0.0067515,0.0,0.01,0.54494,1.5,0.25,3.375,19.0,1.001713,No center,human-vs-human,6,4,,
29,3.1422,0.001,0.0,0.017799,0.99348,1.0,0.5,3.1804,10.0,1.7995899999999998,No center,human-vs-human,6,5,,
30,9.9999,0.01,0.2,0.02,1.3597,1.0,0.3,3.3333,-135.0,2.30485,No center,human-vs-human,7,1,,
31,3.0,0.001,0.18726,0.035,0.81852,1.0,0.5,2.5,15.0,2.28328,No center,human-vs-human,7,2,,
32,3.0002,0.0034485,0.21503,0.022203,0.99989,0.79707,0.30009,4.9998,15.001,3.3163300000000007,No center,human-vs-human,7,3,,
33,2.4002,0.001,0.31301,0.02,1.0,0.99999,0.3,3.5,16.667,1.70348,No center,human-vs-human,7,4,,
34,6.0207,0.001,0.24379,0.02,1.9762,0.66569,0.3,2.5,15.0,2.12421,No center,human-vs-human,7,5,,
35,5.4536,0.001,0.34878,0.01,1.4375,0.5,1.0636,3.375,25.25,1.6029399999999998,No center,human-vs-human,8,1,,
36,1.5252,0.009,0.17194,0.017591,0.84444,0.90269,0.92701,3.4566,14.746,2.72975,No center,human-vs-human,8,2,,
37,3.0,0.0079679,0.3,0.03,1.0,0.73782,0.4,3.723,30.0,1.5793300000000001,No center,human-vs-human,8,3,,
38,2.5167,0.001,0.2,0.03,1.0,1.0,0.4,2.6743,15.0,2.1338199999999996,No center,human-vs-human,8,4,,
39,4.6085,0.0043315,0.19852,0.015,1.0226,0.48374,0.74376,4.7114,42.625,1.83551,No center,human-vs-human,8,5,,
40,2.7688,0.015641,0.32078,0.020443,0.99085,0.97395,0.40606,2.2993,15.918,2.63021,No center,human-vs-human,9,1,,
41,3.8489,0.001,0.2,0.02,1.0,1.0,0.5,2.5,15.0,3.4092599999999997,No center,human-vs-human,9,2,,
42,3.0,0.01,0.3,0.02,1.0,1.0,0.3,2.5,15.0,3.1761600000000003,No center,human-vs-human,9,3,,
43,8.9749,0.009,0.002656,0.01,0.96921,0.35,0.625,0.67305,10.178,2.7068000000000003,No center,human-vs-human,9,4,,
44,6.475,0.0074776,0.19781,0.021086,1.3891,0.5,0.5111,1.625,19.0,2.31618,No center,human-vs-human,9,5,,
45,10.0,0.0049999,0.19999,0.019444,1.0426,1.0,0.96534,2.0556,15.0,2.10366,No center,human-vs-human,10,1,,
46,7.0,0.001,0.2,0.02,1.0,0.8,0.3,2.5,15.0,2.86708,No center,human-vs-human,10,2,,
47,9.9996,0.0012089,0.389,0.01,1.3695,0.5,0.625,1.625,11.0,1.61584,No center,human-vs-human,10,3,,
48,5.5077,0.001,0.20003,0.020002,1.0001,1.0001,0.39994,2.4999,15.001,2.26169,No center,human-vs-human,10,4,,
49,9.9999,0.003391,0.25523,0.02,1.0,1.0,0.3,2.5,15.0,2.62933,No center,human-vs-human,10,5,,
50,2.431,0.001,0.16358,0.020185,1.0081,0.99074,0.29504,3.5208,15.074,2.1604400000000004,No center,human-vs-human,11,1,,
51,8.1454,0.001,0.21785,0.018394,1.0,1.0,0.3,2.5,15.0,1.9398,No center,human-vs-human,11,2,,
52,7.9035,0.0080135,0.2316,0.02997,0.8902,0.98031,0.33271,3.6679,21.009,2.12931,No center,human-vs-human,11,3,,
53,4.8184,0.0019061,0.11031,0.020001,2.0,0.99995,0.64049,2.2665,15.0,1.98844,No center,human-vs-human,11,4,,
54,7.0,0.002,0.2,0.01,1.0,1.111,0.5,3.5,15.0,1.89948,No center,human-vs-human,11,5,,
55,10.0,0.0021077,0.2,0.02,1.0,0.8,0.6,2.5,8.1021,2.0200699999999996,No center,human-vs-human,12,1,,
56,7.0754,0.001,0.20589,0.02,1.0,1.0,1.35,2.5,15.0,1.66768,No center,human-vs-human,12,2,,
57,7.0,0.01,0.2,0.02,1.1667,0.56147,0.6,2.5,15.0,2.04417,No center,human-vs-human,12,3,,
58,9.9999,0.001,0.30427,0.016099,0.91034,0.96448,0.37234,2.5745,14.66,2.47659,No center,human-vs-human,12,4,,
59,10.0,0.001,0.3,0.021556,0.75648,0.39442,0.3,3.3333,15.0,2.1208199999999997,No center,human-vs-human,12,5,,
60,2.55,0.018944,0.2,0.02425,1.0,1.0,0.3,3.5,15.0,2.0991500000000003,No center,human-vs-human,13,1,,
61,3.0,0.01,0.2,0.02,1.0,1.0,0.3,2.5,15.0,2.20964,No center,human-vs-human,13,2,,
62,5.0,0.005,0.2,0.02,1.0,1.0,0.3,2.5,15.0,2.5798699999999997,No center,human-vs-human,13,3,,
63,1.7894,0.001,0.2,0.022379,1.1444,0.8,0.3,2.5,15.0,2.25049,No center,human-vs-human,13,4,,
64,3.2533,0.020058,0.092536,0.01,0.99855,1.0017,0.39892,2.4971,0.61302,2.5578700000000003,No center,human-vs-human,13,5,,
65,3.6143,0.005,0.19121,0.02,1.3422,0.81598,0.3,2.5,15.0,1.6716799999999998,No center,human-vs-human,14,1,,
66,5.167,0.001,0.2,0.02,2.0,0.99999,0.55556,2.5,16.667,2.36587,No center,human-vs-human,14,2,,
67,3.4087,0.0082514,0.2,0.02,1.0,1.0,0.3,3.3333,8.0338,2.17421,No center,human-vs-human,14,3,,
68,5.9165,0.0051355,0.30408,0.020645,1.9807,0.78636,0.32786,2.7348,-36.195,2.10811,No center,human-vs-human,14,4,,
69,2.9485,0.006602,0.4,0.014444,1.068,1.009,0.3,3.3333,15.0,1.66541,No center,human-vs-human,14,5,,
70,3.1395,0.0019116,0.23564,0.033179,0.96537,0.80334,1.3764,5.1715,15.317,1.6671799999999997,No center,human-vs-human,15,1,,
71,5.4632,0.0023446,0.17367,0.02049,0.40901,0.93993,1.2698,3.4553,14.057,1.6770799999999997,No center,human-vs-human,15,2,,
72,3.8733,0.01,0.2,0.03,1.0,1.0,1.8258,3.5,13.333,1.78934,No center,human-vs-human,15,3,,
73,3.9877,0.0025017,0.19396,0.019375,0.55331,1.0384,0.65298,3.4223,29.187,2.4355,No center,human-vs-human,15,4,,
74,8.0017,0.001,0.15447,0.041827,0.50019,1.1115,1.0496,3.6914,13.052,2.25535,No center,human-vs-human,15,5,,
75,3.5759,0.001,0.1599,0.01,1.0,0.80246,0.53678,2.6284,13.365,2.4717599999999997,No center,human-vs-human,16,1,,
76,4.1833,0.001,0.2,0.02,1.0396,0.71213,0.3,2.5,15.0,2.23454,No center,human-vs-human,16,2,,
77,4.9763,0.001,0.27888,0.021992,1.2642,0.94185,0.47579,2.3982,8.1698,1.5139500000000001,No center,human-vs-human,16,3,,
78,4.672,0.0066361,0.22701,0.022115,1.0852,0.79688,0.36332,3.02,15.779,1.9044900000000002,No center,human-vs-human,16,4,,
79,5.1447,0.001,0.2,0.01,0.95833,1.0,1.0,3.5,15.0,1.54723,No center,human-vs-human,16,5,,
80,10.0,0.0090343,0.22587,0.01,1.0,0.94622,0.3,1.9444,15.0,1.96723,No center,human-vs-human,17,1,,
