,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,3.4162,0.001,0.17685,0.02,0.50752,0.72862,0.0,4.773,15.0,2.43256,No connected 2-in-a-row,human-vs-human,1,1,,
1,3.0,0.001,0.3,0.01,0.25,0.8,0.3,3.5,15.0,1.95395,No connected 2-in-a-row,human-vs-human,1,2,,
2,2.0061,0.001,0.19075,0.04,0.56315,0.68312,0.0,2.5,15.0,2.22795,No connected 2-in-a-row,human-vs-human,1,3,,
3,9.9999,0.001,0.4,0.02,1.0,0.8,0.3,2.5,4.8445,2.0208199999999996,No connected 2-in-a-row,human-vs-human,1,4,,
4,5.0,0.001,0.21932,0.04,0.99999,0.4,0.3,2.5,15.0,2.4502599999999997,No connected 2-in-a-row,human-vs-human,1,5,,
5,9.0181,0.0077008,0.23403,0.017577,2.168,0.57151,0.60131,2.6578,19.053,1.97513,No connected 2-in-a-row,human-vs-human,2,1,,
6,5.0,0.001,0.31911,0.01,1.4907,0.8,0.5,2.5,15.0,1.6796000000000002,No connected 2-in-a-row,human-vs-human,2,2,,
7,5.0,0.001,0.22003,0.01,1.2093,0.62672,0.3,2.5,10.0,2.03374,No connected 2-in-a-row,human-vs-human,2,3,,
8,4.739,0.01,0.21111,0.017531,1.0422,0.81715,0.3,2.5,15.0,2.40369,No connected 2-in-a-row,human-vs-human,2,4,,
9,4.7278,0.01,0.2,0.02,1.281,0.8,0.3,2.5,15.0,2.20839,No connected 2-in-a-row,human-vs-human,2,5,,
10,2.9043,0.0023333,0.23726,0.02,1.0367,1.158,0.6,3.3333,15.0,1.9775899999999997,No connected 2-in-a-row,human-vs-human,3,1,,
11,5.0,0.002124,0.3237,0.03,1.1667,1.1542,0.4,3.5,20.0,1.8764800000000001,No connected 2-in-a-row,human-vs-human,3,2,,
12,6.4666,0.0080638,0.18435,0.016986,0.86812,0.93102,0.25056,4.7362,6.7407,2.16509,No connected 2-in-a-row,human-vs-human,3,3,,
13,3.0,0.001,0.22041,0.02,0.5,1.1243,0.3,2.5858,15.0,1.8794800000000003,No connected 2-in-a-row,human-vs-human,3,4,,
14,3.0871,0.001,0.16363,0.021888,0.89028,1.0633,0.49013,3.0119,12.66,2.1544,No connected 2-in-a-row,human-vs-human,3,5,,
15,5.5689,0.0034409,0.31291,0.023453,1.269,1.2701,0.042609,4.1192,31.585,2.3069300000000004,No connected 2-in-a-row,human-vs-human,4,1,,
16,3.6667,0.0013163,0.4,0.016124,1.229,1.2677,0.26364,2.5,21.111,2.50239,No connected 2-in-a-row,human-vs-human,4,2,,
17,2.5708,0.0037977,0.38454,0.019444,1.0488,1.1419,0.17853,2.5486,9.5544,2.20582,No connected 2-in-a-row,human-vs-human,4,3,,
18,5.0,0.005,0.44524,0.019691,1.8859,1.0,0.5,2.5,20.0,1.8534300000000001,No connected 2-in-a-row,human-vs-human,4,4,,
19,3.0,0.005,0.3,0.02,1.0,1.0,0.3,2.5,15.0,2.44587,No connected 2-in-a-row,human-vs-human,4,5,,
20,3.3318,0.001,0.15781,0.014766,0.25,0.78188,0.47222,7.3653,15.296,1.6495000000000002,No connected 2-in-a-row,human-vs-human,5,1,,
21,10.0,0.001,0.34033,0.01,1.5364,0.5,0.47896,3.375,19.0,1.97344,No connected 2-in-a-row,human-vs-human,5,2,,
22,8.0,0.001,0.22218,0.019606,1.8013,0.8,0.3,3.3333,15.0,2.3012699999999997,No connected 2-in-a-row,human-vs-human,5,3,,
23,7.0,0.0079234,0.25667,0.02,0.79409,0.64874,0.3,5.0,30.0,1.5210000000000001,No connected 2-in-a-row,human-vs-human,5,4,,
24,10.0,0.001,0.20019,0.022118,0.99925,0.79922,0.30028,5.0015,8.4282,1.58046,No connected 2-in-a-row,human-vs-human,5,5,,
25,4.9351,0.001,0.18797,0.013337,0.99953,0.80048,0.3997,3.4969,5.6762,1.85895,No connected 2-in-a-row,human-vs-human,6,1,,
26,5.0,0.001,0.2,0.02,1.0,0.8,0.3,2.5,15.0,1.54237,No connected 2-in-a-row,human-vs-human,6,2,,
27,2.7214,0.001,0.069775,0.029144,0.59997,1.0256,0.14997,3.3001,11.343,1.5873399999999998,No connected 2-in-a-row,human-vs-human,6,3,,
28,5.0,0.001,0.11331,0.03,0.84812,0.8,0.6,2.5,15.0,0.9534780000000002,No connected 2-in-a-row,human-vs-human,6,4,,
29,2.9819,0.001,0.11167,0.030046,0.49537,0.99074,0.49306,3.7381,29.926,1.78671,No connected 2-in-a-row,human-vs-human,6,5,,
30,4.9062,0.010016,0.34722,0.020003,2.0008,0.7992,0.14193,2.4984,15.007,2.0917199999999996,No connected 2-in-a-row,human-vs-human,7,1,,
31,5.357,0.0016667,0.34546,0.01,1.0,0.8,0.014306,5.3971,15.0,2.3575900000000005,No connected 2-in-a-row,human-vs-human,7,2,,
32,4.2686,0.0081414,0.10578,0.02026,1.9747,0.81709,0.10525,2.5506,30.231,3.49422,No connected 2-in-a-row,human-vs-human,7,3,,
33,2.9463,0.001,0.20422,0.060473,1.1685,0.53272,0.3,2.5,30.0,1.8096400000000004,No connected 2-in-a-row,human-vs-human,7,4,,
34,3.9942,0.001,0.48502,0.01,1.001,0.52583,0.029347,5.1386,31.678,1.9647999999999999,No connected 2-in-a-row,human-vs-human,7,5,,
35,9.1476,0.001,0.12124,0.023419,1.2684,0.49035,1.5654,4.2123,16.035,1.70294,No connected 2-in-a-row,human-vs-human,8,1,,
36,7.3806,0.0024594,0.10556,0.03,2.0,0.55195,0.5,3.3333,15.0,2.8904099999999997,No connected 2-in-a-row,human-vs-human,8,2,,
37,6.5728,0.0010053,0.37448,0.021644,1.3129,0.54348,0.88624,3.4535,3.9582,1.41485,No connected 2-in-a-row,human-vs-human,8,3,,
38,3.0017,0.0039184,0.19348,0.01,1.0006,0.80124,0.99931,4.9976,15.011,1.94341,No connected 2-in-a-row,human-vs-human,8,4,,
39,6.4761,0.001,0.39986,0.01,1.3256,0.4063,0.68799,4.2076,3.409,1.9630299999999998,No connected 2-in-a-row,human-vs-human,8,5,,
40,4.4536,0.01,0.2,0.017195,1.0,0.36544,0.3,2.0905,15.0,2.71699,No connected 2-in-a-row,human-vs-human,9,1,,
41,3.0,0.001,0.3,0.02,0.3973,0.41577,0.4,2.5,5.4849,3.1268599999999998,No connected 2-in-a-row,human-vs-human,9,2,,
42,3.0,0.0073415,0.4,0.03,0.54906,0.47255,0.5,2.5,20.0,3.2781400000000005,No connected 2-in-a-row,human-vs-human,9,3,,
