,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,4.1773,0.0057441,0.02,0.59414,0.44801,0.8,0.47691,2.5,2.5,2.03879,No feature drop,human-vs-human,1,1,,
1,1.3812,0.019935,0.023916,0.54329,0.67803,0.91342,0.34372,2.6515,15.693,1.6273900000000001,No feature drop,human-vs-human,1,2,,
2,3.0,0.02,0.02,0.5,0.4,1.0,0.3,2.5,15.0,2.13428,No feature drop,human-vs-human,1,3,,
3,8.1816,0.0078551,0.018713,0.79059,0.39995,0.99984,0.27433,2.3878,15.001,2.0227999999999997,No feature drop,human-vs-human,1,4,,
4,3.0,0.02548,0.02,0.74185,0.8,1.0,0.3,2.5,15.0,2.29721,No feature drop,human-vs-human,1,5,,
5,7.4065,0.0082792,0.02,1.2543,0.62898,0.19394,0.3,2.5,15.0,1.96345,No feature drop,human-vs-human,2,1,,
6,0.1,0.02,0.02,0.25,0.4,1.0,1.3576,2.5,15.0,1.80607,No feature drop,human-vs-human,2,2,,
7,7.6807,0.0090748,0.020596,1.2599,0.070145,0.58694,0.52236,2.5522,13.708,1.9738099999999998,No feature drop,human-vs-human,2,3,,
8,3.4248,0.019902,0.019155,0.85251,0.4,0.8,0.84444,2.7778,23.333,2.56803,No feature drop,human-vs-human,2,4,,
9,7.0,0.0095,0.02,1.0,0.8,0.86054,0.87959,2.5,15.0,2.13319,No feature drop,human-vs-human,2,5,,
10,4.7263,0.0071627,0.01,0.25,0.71968,1.0008,0.29946,2.5014,-6.6718,2.0170500000000002,No feature drop,human-vs-human,3,1,,
11,3.55,0.005,0.023006,0.25,0.88889,1.0,0.3,2.5,8.1708,1.8835100000000005,No feature drop,human-vs-human,3,2,,
12,2.7665,0.0032638,0.038779,0.30384,0.75259,0.95833,0.42708,2.7818,10.229,2.08559,No feature drop,human-vs-human,3,3,,
13,9.9999,0.0060233,0.030786,0.25,0.81768,1.0196,0.21577,2.716,15.157,1.8933700000000002,No feature drop,human-vs-human,3,4,,
14,5.05,0.005666,0.0212,0.25,0.86381,1.1006,0.23463,2.4991,9.9887,2.1680300000000003,No feature drop,human-vs-human,3,5,,
15,5.5607,0.021725,0.019832,0.92078,0.82764,0.87007,0.27664,2.4514,12.295,2.39944,No feature drop,human-vs-human,4,1,,
16,6.9755,0.0060566,0.01856,0.78327,0.80559,0.53653,0.30404,1.5655,20.05,2.7210099999999997,No feature drop,human-vs-human,4,2,,
