,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,0.011667,0.2,0.016088,0.5,0.4,1.0,0.66667,2.5,-135.0,2.0782999999999996,No pruning,human-vs-human,1,1,,
1,0.015663,0.2,0.020115,0.34008,0.72266,1.3655,0.3,2.5,30.0,1.7566000000000002,No pruning,human-vs-human,1,2,,
2,0.0052778,0.1,0.026667,0.5699,0.4,1.2339,0.5,2.3333,15.0,2.1123000000000003,No pruning,human-vs-human,1,3,,
3,0.0073225,0.29922,0.022134,0.49318,0.52288,2.0136,0.29595,2.5239,15.109,1.9875,No pruning,human-vs-human,1,4,,
4,0.002,0.2,0.018795,1.0,0.4,1.0,0.022511,2.5,15.0,2.26403,No pruning,human-vs-human,1,5,,
5,0.009399,0.53514,0.06,4.0,0.8,1.0,0.3,3.5,9.0522,1.8714400000000002,No pruning,human-vs-human,2,1,,
6,0.0093942,0.46321,0.02,2.0,0.60605,0.8,0.3,2.5,-5.1865,1.68861,No pruning,human-vs-human,2,2,,
7,0.0061863,0.54839,0.027865,2.1309,0.71879,1.2152,0.5366,3.375,9.8642,2.0357100000000004,No pruning,human-vs-human,2,3,,
8,0.0048382,0.26835,0.030517,1.2851,0.39779,0.99684,0.29795,2.9507,14.975,2.46662,No pruning,human-vs-human,2,4,,
9,0.0041791,0.7,0.02,1.3438,0.75008,0.24229,0.3,7.0,15.0,1.91133,No pruning,human-vs-human,2,5,,
10,0.009,0.18244,0.064539,0.25,0.80037,1.4548,0.14807,3.2915,15.003,1.8061900000000002,No pruning,human-vs-human,3,1,,
11,0.001,0.2,0.03,0.99999,0.8,1.0994,0.5,2.5,15.0,1.9531800000000001,No pruning,human-vs-human,3,2,,
12,0.0050001,0.10009,0.020002,0.25,0.79931,1.6005,0.3005,2.6868,15.006,2.1551,No pruning,human-vs-human,3,3,,
13,0.001,0.3646,0.059957,1.0,1.0667,2.0,0.6,5.0,30.0,1.8889500000000001,No pruning,human-vs-human,3,4,,
14,0.001,0.2,0.02,0.32861,0.70854,1.481,0.75378,2.5,20.0,2.1780399999999998,No pruning,human-vs-human,3,5,,
15,0.011999,0.43501,0.03,1.1227,0.8,1.0,0.3,5.0,-103.65,2.28374,No pruning,human-vs-human,4,1,,
16,0.011354,0.37563,0.020117,0.83475,1.0555,1.2632,0.48828,6.3498,13.922,2.6156699999999997,No pruning,human-vs-human,4,2,,
17,0.010427,0.32668,0.14583,0.77727,0.12017,0.85845,1.6918,0.188,4.1116,2.6708999999999996,No pruning,human-vs-human,4,3,,
18,0.48943,0.19999,0.019999,0.25,0.79998,1.1369,0.29999,5.0,30.0,1.86813,No pruning,human-vs-human,4,4,,
19,0.02,0.23333,0.01923,1.0,0.8,0.8,0.3,5.0,-9.7754,2.53289,No pruning,human-vs-human,4,5,,
20,0.005,0.2,0.02,1.0,0.8,0.8,0.5,19.299,10.0,1.71642,No pruning,human-vs-human,5,1,,
21,0.001,0.13192,0.016452,0.7439,0.3353,0.16565,0.69071,8.0976,12.686,1.9665700000000002,No pruning,human-vs-human,5,2,,
22,0.001,0.29689,0.01,1.0,0.7372,0.45973,0.5,9.3333,15.0,2.34293,No pruning,human-vs-human,5,3,,
23,0.001,0.2,0.02,0.53565,0.4,1.0,0.6,2.5,15.0,1.6297599999999999,No pruning,human-vs-human,5,4,,
24,0.0056478,0.1,0.01,0.25,0.28166,0.8,0.95,3.5,15.0,1.72837,No pruning,human-vs-human,5,5,,
25,0.001,0.0,0.02,0.74835,0.68769,0.52081,0.3,2.5,6.3523,1.52058,No pruning,human-vs-human,6,1,,
26,0.001,0.1,0.02,0.5,0.8,1.0,0.3,2.5,-7.6851,1.38939,No pruning,human-vs-human,6,2,,
27,0.001,0.20885,0.03,1.0,0.72762,1.0,0.3,2.5,15.0,1.67111,No pruning,human-vs-human,6,3,,
28,0.001,0.19257,0.021931,0.36806,0.775,1.025,0.31806,4.1655,9.8472,0.9249179999999999,No pruning,human-vs-human,6,4,,
29,0.001,0.1,0.02,1.0,0.8,1.0,0.3,2.5,6.9501,1.6242899999999998,No pruning,human-vs-human,6,5,,
30,0.01896,0.19997,0.015004,1.0004,0.61455,0.99957,0.19357,5.6034,19.996,1.90794,No pruning,human-vs-human,7,1,,
31,0.011217,0.26791,0.019606,1.0,0.8,1.0,0.3,40.0,15.0,2.3773400000000002,No pruning,human-vs-human,7,2,,
32,0.0075,0.21111,0.020388,1.0,0.4,1.1026,0.0,7.0,30.0,3.24294,No pruning,human-vs-human,7,3,,
33,0.02479,0.2,0.022291,1.2045,0.69018,1.0,0.3,11.388,3.7322,1.59332,No pruning,human-vs-human,7,4,,
34,0.014589,0.28787,0.020795,1.8883,0.62091,1.0114,0.27416,4.9304,8.6034,2.1218600000000003,No pruning,human-vs-human,7,5,,
35,0.0010577,0.11558,0.0525,0.42187,-0.098719,0.16869,5.5793,29.396,15.406,1.88435,No pruning,human-vs-human,8,1,,
36,0.0051803,0.28447,0.020506,0.48437,0.44951,0.66263,1.4481,14.073,15.266,2.8331000000000004,No pruning,human-vs-human,8,2,,
37,0.0036864,0.20437,0.024458,0.99585,0.40255,0.80427,1.9163,7.9881,14.962,1.4849299999999999,No pruning,human-vs-human,8,3,,
38,1.0,0.10556,0.02,0.5,0.43101,0.80373,1.1359,5.0,-60.0,1.9691500000000002,No pruning,human-vs-human,8,4,,
39,0.005,0.3,0.01,2.0,0.24241,0.32348,0.6,2.5,15.0,2.0055699999999996,No pruning,human-vs-human,8,5,,
40,0.01718,0.4,0.01,2.0,0.8,1.0,0.3,2.5,15.0,2.7602599999999997,No pruning,human-vs-human,9,1,,
41,0.0070115,0.68428,0.023353,1.1603,0.099853,0.81724,0.50845,4.708,16.335,3.3803799999999997,No pruning,human-vs-human,9,2,,
42,0.011585,0.0,0.01,1.0136,0.76466,0.5,0.625,1.1324,11.0,3.25702,No pruning,human-vs-human,9,3,,
43,0.010844,0.38258,0.01,0.98417,0.81335,1.0181,1.2197,2.4683,15.145,2.5431999999999997,No pruning,human-vs-human,9,4,,
44,1.0,0.25,0.02,0.44215,0.33265,1.0,0.42882,2.5,30.0,1.9640600000000004,No pruning,human-vs-human,9,5,,
45,0.0040879,0.26667,0.016667,1.6902,0.28333,0.83333,0.40833,2.8373,10.796,2.3865799999999995,No pruning,human-vs-human,10,1,,
46,0.01,0.3,0.03,1.0,0.4,0.8,0.3,3.5,15.0,2.62424,No pruning,human-vs-human,10,2,,
47,0.0041111,0.10223,0.016536,1.0584,0.44665,0.62479,0.65417,1.1702,11.343,1.54541,No pruning,human-vs-human,10,3,,
48,0.0020295,0.26216,0.019718,1.2704,0.47921,0.48761,1.3048,1.4671,15.21,2.35994,No pruning,human-vs-human,10,4,,
49,0.0058967,0.2,0.02,1.0,0.2893,1.0,0.3,2.5,15.0,2.79601,No pruning,human-vs-human,10,5,,
50,0.001,0.12186,0.01,0.9969,0.99645,1.0036,0.664,2.4942,29.971,2.00221,No pruning,human-vs-human,11,1,,
51,0.001,0.164,0.023563,1.0,0.8,1.0,0.3,2.5,15.0,1.7550599999999998,No pruning,human-vs-human,11,2,,
52,0.010475,0.0,0.018246,0.37364,0.89204,1.0118,0.68595,2.7898,14.791,1.99209,No pruning,human-vs-human,11,3,,
53,0.001,0.17864,0.02166,1.0571,0.80044,1.1669,1.8006,2.778,14.996,2.03973,No pruning,human-vs-human,11,4,,
54,0.0053559,0.30977,0.01,0.93188,0.72993,1.1899,0.32971,4.8638,14.377,1.8523800000000001,No pruning,human-vs-human,11,5,,
55,0.001,0.42509,0.015641,0.8464,0.86674,0.59268,0.34995,5.4012,13.588,1.7872799999999998,No pruning,human-vs-human,12,1,,
56,0.0058334,0.3,0.01,1.1598,1.0667,0.42154,0.4,2.5,4.9377,1.3768099999999999,No pruning,human-vs-human,12,2,,
57,0.004113,0.3051,0.018382,1.008,0.83582,0.32373,0.31616,2.4561,11.708,2.1300499999999998,No pruning,human-vs-human,12,3,,
58,0.001,0.54845,0.023181,0.89175,0.74096,0.81797,0.3,3.5,15.0,2.39261,No pruning,human-vs-human,12,4,,
59,0.0050257,0.20128,0.022487,0.50161,0.79711,0.37849,0.29791,5.0056,15.026,2.11726,No pruning,human-vs-human,12,5,,
60,0.02,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,2.2858799999999997,No pruning,human-vs-human,13,1,,
61,0.53326,0.20175,0.030175,0.89133,0.39694,0.79646,0.45826,2.4923,14.965,2.22334,No pruning,human-vs-human,13,2,,
62,0.022238,0.3,0.019223,1.0556,0.69549,1.0166,0.35394,5.5556,30.0,2.66464,No pruning,human-vs-human,13,3,,
63,0.01,0.16667,0.02,1.0,0.8,0.62753,0.3,3.3333,15.0,2.37584,No pruning,human-vs-human,13,4,,
64,0.011346,0.17401,0.01746,1.1045,0.6857,0.87829,0.38255,2.7223,2.4606,2.4941899999999997,No pruning,human-vs-human,13,5,,
65,0.0055782,0.10298,0.1674,2.0153,0.39888,0.80144,0.44551,2.8303,14.987,1.7958399999999997,No pruning,human-vs-human,14,1,,
66,0.0086421,0.27589,0.13682,2.4273,0.45454,0.92651,0.34772,2.9064,15.587,2.63896,No pruning,human-vs-human,14,2,,
67,0.0055556,0.2,0.16274,1.9578,0.49367,0.8,0.3,3.5,10.0,2.2884300000000004,No pruning,human-vs-human,14,3,,
68,0.008226,0.17976,0.35432,1.8732,-0.19138,1.0,0.59942,5.9259,14.483,2.0264,No pruning,human-vs-human,14,4,,
69,0.001,0.39816,0.17654,2.1042,0.1792,0.82969,0.10374,3.6668,8.4933,1.8540800000000002,No pruning,human-vs-human,14,5,,
70,0.005,0.3,0.03,1.0,0.88889,0.67412,1.5818,2.5,-4.4467,1.74096,No pruning,human-vs-human,15,1,,
71,0.011667,0.2,0.02,0.48611,0.4,0.8,1.0,3.1619,-5.4446,1.64237,No pruning,human-vs-human,15,2,,
72,0.001,0.17382,0.02054,0.95777,0.76685,0.91674,0.58113,2.6457,-14.472,1.73059,No pruning,human-vs-human,15,3,,
73,0.0066667,0.3,0.015,0.64374,0.4,0.6861,0.3,7.0,15.0,2.5175300000000003,No pruning,human-vs-human,15,4,,
74,0.0050064,0.16657,0.019984,0.49485,0.39944,0.79077,0.84794,3.5018,11.672,2.2932200000000003,No pruning,human-vs-human,15,5,,
75,0.001,0.19875,0.027603,1.0,0.8,1.0,0.3,2.5,-98.305,2.7766399999999996,No pruning,human-vs-human,16,1,,
76,0.0061148,0.41358,0.030593,0.77999,0.98262,0.8365,0.37234,27.858,4.8931,2.28045,No pruning,human-vs-human,16,2,,
77,0.0047293,0.20454,0.02,1.0379,0.4,0.87934,1.0815,2.5,10.867,1.50378,No pruning,human-vs-human,16,3,,
78,0.0058333,0.16667,0.02,1.0,0.8,0.31706,0.22701,3.5,20.0,1.77005,No pruning,human-vs-human,16,4,,
79,0.0075,0.3,0.03,1.0,0.8,0.99999,0.3,103.33,4.9307,1.5749,No pruning,human-vs-human,16,5,,
80,0.0098335,0.306,0.025868,1.2141,0.74223,0.94867,0.39278,2.3178,15.0,1.96295,No pruning,human-vs-human,17,1,,
81,0.011355,0.3,0.022654,1.3038,0.56342,1.0,0.3,5.0,15.0,2.6930199999999997,No pruning,human-vs-human,17,2,,
82,0.014226,0.18889,0.031667,0.87876,0.53333,1.0475,0.6,2.5,12.401,2.53103,No pruning,human-vs-human,17,3,,
83,0.010824,0.375,0.0175,1.0457,0.50753,1.4583,0.38125,3.1146,6.0691,2.25483,No pruning,human-vs-human,17,4,,
84,0.010541,0.17739,0.021823,0.95064,0.56672,1.0068,0.29929,2.5026,13.933,2.5767,No pruning,human-vs-human,17,5,,
85,0.01,0.2,0.02,0.82017,0.20235,0.8,0.66667,2.5,-48.528,1.9451600000000002,No pruning,human-vs-human,18,1,,
86,0.020188,0.19931,0.019901,0.498,0.33864,0.99954,0.39679,2.5086,19.948,2.4427399999999997,No pruning,human-vs-human,18,2,,
87,0.01,0.4,0.02,0.58333,0.4,1.0,0.5,2.5,15.0,2.53112,No pruning,human-vs-human,18,3,,
88,0.0051004,0.18758,0.01854,0.85417,0.28333,0.62368,0.53941,2.8227,13.667,2.4397,No pruning,human-vs-human,18,4,,
89,0.009545,0.36526,0.015,0.73372,-0.34098,1.25,0.58261,2.796,13.0,2.78317,No pruning,human-vs-human,18,5,,
90,0.0023333,0.0,0.01,0.25,0.79612,1.0,0.3,3.5,15.0,1.8220399999999999,No pruning,human-vs-human,19,1,,
91,0.001,0.25645,0.018518,0.67153,0.72421,1.1411,0.26434,5.2469,13.871,1.68681,No pruning,human-vs-human,19,2,,
92,0.001,0.2,0.04,1.0,0.8,1.0,0.4,3.2308,15.0,1.5053,No pruning,human-vs-human,19,3,,
93,0.001,0.11667,0.01,1.0,0.8,1.0,1.0,3.9734,15.0,1.33832,No pruning,human-vs-human,19,4,,
94,0.0022734,0.11404,0.01,0.85068,0.80208,1.1074,0.54725,3.4886,17.0,0.654921,No pruning,human-vs-human,19,5,,
95,0.0085402,0.25799,0.019269,0.4811,0.78246,1.1301,0.40241,4.7723,16.041,1.7760200000000002,No pruning,human-vs-human,20,1,,
96,0.0070363,0.29023,0.01,1.0,0.652,0.99999,0.3,5.0001,14.208,2.125,No pruning,human-vs-human,20,2,,
