,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,0.1886,0.01,0.80793,0.62432,0.8048,0.72688,2.5935,18.438,2.11006,No tree,human-vs-human,1,1,,
1,0.11109,0.019835,0.48222,0.72032,0.99176,0.67286,3.4814,1583.5,1.6636300000000002,No tree,human-vs-human,1,2,,
2,0.30869,0.01,0.94246,0.4602,1.0183,1.0137,2.468,15.146,2.1236800000000002,No tree,human-vs-human,1,3,,
3,0.3,0.03,1.0,0.11306,0.8,0.6,2.4217,15.0,1.98916,No tree,human-vs-human,1,4,,
4,0.10883,0.024558,0.80058,0.59487,0.77208,0.32906,2.8989,-18.822,2.4496200000000004,No tree,human-vs-human,1,5,,
5,0.0,0.027316,0.26656,0.37038,0.92455,1.0645,4.6164,-219.6,1.7976800000000002,No tree,human-vs-human,2,1,,
6,0.0,0.024053,0.25,0.2749,1.0358,1.5537,3.5805,-89.803,1.73799,No tree,human-vs-human,2,2,,
7,0.14818,0.045,0.25,0.55418,1.0,0.3,4.6667,-180.0,1.92336,No tree,human-vs-human,2,3,,
8,0.1,0.03,0.45471,0.4,1.0,1.8345,3.5,15.0,2.32684,No tree,human-vs-human,2,4,,
9,0.0,0.01,0.25,0.3976,1.3367,1.8626,5.0229,19.981,1.7212699999999999,No tree,human-vs-human,2,5,,
10,0.36939,0.01,0.71476,1.1438,1.0,0.6,3.825,-1785.0,1.82639,No tree,human-vs-human,3,1,,
11,0.27751,0.08,0.71946,1.0,0.79921,0.5818,3.5,-126.67,1.8317,No tree,human-vs-human,3,2,,
12,0.35198,0.052959,0.76674,1.0656,0.99688,0.30057,3.493,-54.652,2.10865,No tree,human-vs-human,3,3,,
13,0.33493,0.039995,0.83628,0.87335,1.0006,0.30004,3.8465,8.2332,2.0234799999999997,No tree,human-vs-human,3,4,,
14,0.34443,0.06,0.78882,1.0,0.99999,0.5,3.5,20.0,1.9674799999999997,No tree,human-vs-human,3,5,,
15,0.36412,0.016241,0.41576,0.99841,1.3345,0.33189,3.04,-77.433,2.42141,No tree,human-vs-human,4,1,,
16,0.37114,0.01,0.25,0.97951,1.4296,0.25906,6.6869,-6.9856,2.5911500000000003,No tree,human-vs-human,4,2,,
17,0.3,0.01,0.4127,0.8,1.0,1.0,3.5,-56.386,2.00318,No tree,human-vs-human,4,3,,
18,0.43782,0.015318,0.34152,0.81619,1.0766,0.77339,2.9375,-12.694,1.9500400000000002,No tree,human-vs-human,4,4,,
19,0.3,0.04,0.5,1.0,0.8,0.4,3.5,20.0,2.43036,No tree,human-vs-human,4,5,,
