,pruning threshold,stopping probability,feature drop rate,lapse rate,opponent scaling constant,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,8.0003,0.001,0.28025,0.01,0.99998,0.99987,0.58408,1.333,0.16636,2.4994,14.997,2.10629,Opponent scaling,human-vs-human,1,1,,
1,1.5604,0.0056211,0.10149,0.020238,0.99516,0.74764,0.59116,1.0088,0.60921,2.5096,26.594,1.70091,Opponent scaling,human-vs-human,1,2,,
2,5.568,0.001,0.29118,0.02,1.0,0.95833,0.4,1.0,0.3,3.3333,131.25,2.13202,Opponent scaling,human-vs-human,1,3,,
3,7.5243,0.01,0.0,0.02,1.0,0.5,0.4,1.3242,0.4,2.5,20.0,2.07082,Opponent scaling,human-vs-human,1,4,,
4,3.55,0.007,0.1259,0.025527,0.97358,0.89491,0.59991,0.5412,0.3,2.5,15.0,2.26609,Opponent scaling,human-vs-human,1,5,,
5,6.9923,0.010016,0.33709,0.019961,3.5486,1.5017,0.79827,0.72066,0.12455,4.671,15.015,1.81836,Opponent scaling,human-vs-human,2,1,,
6,5.109,0.020097,0.21287,0.023014,4.0,1.0878,1.0322,0.78338,0.45364,3.7114,20.257,1.7278,Opponent scaling,human-vs-human,2,2,,
7,5.8829,0.012489,0.21033,0.022765,4.0,1.2992,0.67556,1.022,0.38988,7.3794,17.888,1.92593,Opponent scaling,human-vs-human,2,3,,
8,6.9254,0.011064,0.2,0.028545,2.6667,2.0726,0.4,0.86698,0.5,4.5777,15.0,2.22387,Opponent scaling,human-vs-human,2,4,,
9,3.3141,0.001,0.087243,0.026668,4.0,0.25,0.68729,-0.35719,0.77202,3.6185,11.871,2.09589,Opponent scaling,human-vs-human,2,5,,
10,2.9819,0.001,0.20997,0.01,0.9782,1.0474,0.82242,0.82243,0.2838,3.5561,10.137,1.77936,Opponent scaling,human-vs-human,3,1,,
11,2.9433,0.001,0.2,0.019444,0.875,1.1039,0.8,1.0,0.43193,2.5,15.0,1.77653,Opponent scaling,human-vs-human,3,2,,
12,1.8185,0.0036453,0.19477,0.01,1.1479,1.0,0.8,1.0,0.3,3.0933,15.0,1.92749,Opponent scaling,human-vs-human,3,3,,
13,3.0,0.001,0.28499,0.02,1.0,1.0,0.8,1.3333,0.4,3.5,15.0,1.8259,Opponent scaling,human-vs-human,3,4,,
14,2.5167,0.01,0.23,0.02,1.0867,1.0,0.8,1.0942,0.3,3.5,10.0,2.01963,Opponent scaling,human-vs-human,3,5,,
15,3.1111,0.001,0.3807,0.027896,1.1762,0.99703,0.82653,0.99661,0.3022,3.3393,30.027,2.27218,Opponent scaling,human-vs-human,4,1,,
16,0.77218,0.004,0.3,0.034338,4.0,0.54775,0.8,1.0,0.4,2.5,40.0,2.41296,Opponent scaling,human-vs-human,4,2,,
17,3.4104,0.01,0.2,0.035,1.4181,1.0,0.91906,1.0,0.05,2.5,15.0,2.23618,Opponent scaling,human-vs-human,4,3,,
18,1.1127,0.0050624,0.302,0.01,1.6576,0.5498,0.76639,1.0086,0.2931,2.8567,14.94,1.74578,Opponent scaling,human-vs-human,4,4,,
19,3.3783,0.004,0.3,0.03,1.1498,1.0,1.081,0.8,0.3,2.5,12.843,2.36579,Opponent scaling,human-vs-human,4,5,,
20,4.8447,0.001,0.23062,0.045306,1.6008,0.52518,0.76162,1.0,-0.076267,3.8889,30.0,1.72149,Opponent scaling,human-vs-human,5,1,,
21,10.0,0.0050524,0.29062,0.03016,0.99161,1.0777,0.79622,0.30152,0.39574,7.0217,26.598,1.90371,Opponent scaling,human-vs-human,5,2,,
22,10.0,0.002,0.21589,0.01,1.0431,0.5,0.88888,0.7932,0.3,2.8333,15.0,2.37592,Opponent scaling,human-vs-human,5,3,,
23,5.0,0.001,0.18389,0.022452,1.0662,0.83179,0.58687,0.8,0.40082,2.5,15.0,1.62761,Opponent scaling,human-vs-human,5,4,,
24,3.0,0.003,0.2,0.02,2.0,0.33333,0.8,1.0,0.3,2.8226,20.0,1.77243,Opponent scaling,human-vs-human,5,5,,
25,3.6789,0.001,0.078704,0.02,1.0383,0.5,0.8,1.0,0.16438,3.3333,20.0,1.40036,Opponent scaling,human-vs-human,6,1,,
26,3.102,0.001,0.074479,0.019448,1.0008,0.56107,0.79895,1.1689,0.29926,3.9041,16.675,1.28127,Opponent scaling,human-vs-human,6,2,,
27,1.7339,0.0040006,0.10249,0.012639,0.97569,0.86907,0.73393,0.97222,0.49743,3.5483,15.222,1.58487,Opponent scaling,human-vs-human,6,3,,
28,2.9142,0.001,0.0,0.043333,0.9488,0.83333,0.86471,0.93589,0.29307,2.9937,15.0,0.814815,Opponent scaling,human-vs-human,6,4,,
29,8.3333,0.0015045,0.149,0.03,1.0262,0.87609,0.8,1.0,0.3,2.5,15.0,1.53328,Opponent scaling,human-vs-human,6,5,,
30,3.0023,0.001,0.34815,0.031709,1.9705,1.0551,0.57895,1.0284,0.33296,2.7768,15.005,2.17858,Opponent scaling,human-vs-human,7,1,,
31,5.0,0.01,0.2,0.02,1.0,1.0,0.8,1.0,0.3,2.5,15.0,2.38513,Opponent scaling,human-vs-human,7,2,,
32,10.0,0.0099999,0.20876,0.020257,2.0876,0.82914,0.8,1.0667,0.3,7.7778,30.0,3.10716,Opponent scaling,human-vs-human,7,3,,
33,8.3279,0.0080643,0.23268,0.014423,1.4189,1.0575,0.28857,0.89683,0.38761,5.4026,14.349,1.52736,Opponent scaling,human-vs-human,7,4,,
34,4.0143,0.0097722,0.54241,0.01,1.0876,1.0111,0.57656,0.94079,0.37026,4.9778,22.492,1.96558,Opponent scaling,human-vs-human,7,5,,
35,3.2802,0.0019947,0.29966,0.019981,1.0286,1.0008,0.26415,0.56834,0.37053,4.9983,20.008,1.44388,Opponent scaling,human-vs-human,8,1,,
36,8.9976,0.0036666,0.23325,0.021681,0.98666,0.92727,0.46678,0.52165,0.4004,7.4644,14.995,2.75619,Opponent scaling,human-vs-human,8,2,,
37,3.3957,0.005058,0.24872,0.01629,1.0163,1.0749,0.40078,0.88789,1.029,3.9659,28.949,1.48847,Opponent scaling,human-vs-human,8,3,,
38,4.9997,0.0050009,0.20004,0.01,1.0001,0.80568,0.25848,1.0001,2.5236,7.0002,13.334,1.92317,Opponent scaling,human-vs-human,8,4,,
39,3.5715,0.0051787,0.20618,0.017577,1.0509,0.8672,0.50624,0.34496,0.61383,5.0082,23.563,1.90342,Opponent scaling,human-vs-human,8,5,,
40,6.425,0.013667,0.18472,0.02,1.0,2.0,0.4,1.0,0.5,1.5,13.744,2.80035,Opponent scaling,human-vs-human,9,1,,
41,5.3726,0.0053517,0.21759,0.01,1.1158,1.0385,0.43078,1.044,0.37142,2.4231,14.648,3.23618,Opponent scaling,human-vs-human,9,2,,
42,9.9999,0.0095,0.2,0.02,1.0124,1.0,0.8,1.0,0.3,2.5,15.0,3.3739,Opponent scaling,human-vs-human,9,3,,
43,5.8749,0.0046635,0.43337,0.12102,1.0472,1.3335,0.32816,0.5773,0.33346,1.7961,20.002,2.51083,Opponent scaling,human-vs-human,9,4,,
44,5.275,0.005,0.6,0.01,1.0,1.0,0.36456,1.0,0.15009,2.5,-19.611,2.29096,Opponent scaling,human-vs-human,9,5,,
45,8.9751,0.001,0.2,0.03,0.5625,1.4375,0.35,0.5,0.55824,1.625,19.0,2.00928,Opponent scaling,human-vs-human,10,1,,
46,7.5388,0.010556,0.20487,0.02,0.96948,0.83333,0.66667,0.80808,0.6,2.5,6.895,2.97349,Opponent scaling,human-vs-human,10,2,,
47,7.0,0.0075,0.2,0.02,1.0,1.0,0.54769,1.0295,0.6,2.5,12.589,1.60009,Opponent scaling,human-vs-human,10,3,,
48,10.0,0.0065297,0.4467,0.032538,0.94448,1.0555,0.40513,0.65869,0.35923,2.3902,9.655,2.33918,Opponent scaling,human-vs-human,10,4,,
49,10.0,0.01,0.21405,0.02,1.0,1.3322,0.46113,0.72678,0.3,2.5,30.0,2.84604,Opponent scaling,human-vs-human,10,5,,
50,3.0,0.005,0.2,0.02,1.0,1.0,1.0,1.0,0.3,2.5,15.0,2.24391,Opponent scaling,human-vs-human,11,1,,
51,3.2189,0.001,0.084163,0.018549,0.98438,0.99526,0.8,1.0,0.3,2.806,15.556,1.77019,Opponent scaling,human-vs-human,11,2,,
52,8.656,0.0042228,0.19545,0.019375,0.92947,0.86281,1.132,1.1675,1.1075,4.2161,8.1767,1.5612,Opponent scaling,human-vs-human,11,3,,
53,3.0969,0.001,0.25501,0.019281,1.0079,1.136,0.8,1.0,0.3,4.6667,15.0,1.78328,Opponent scaling,human-vs-human,11,4,,
54,6.6038,0.0071405,0.25891,0.02,0.74787,1.3783,0.8,1.0,2.4494,3.3333,15.0,2.05165,Opponent scaling,human-vs-human,11,5,,
55,5.1373,0.012227,0.29154,0.01,0.99747,0.50736,0.77636,0.65824,1.816,3.3484,15.21,1.73387,Opponent scaling,human-vs-human,12,1,,
56,7.3333,0.010197,0.21517,0.020644,0.97685,0.50689,0.69203,0.9868,0.63174,3.5194,15.449,1.4375,Opponent scaling,human-vs-human,12,2,,
57,7.1603,0.0038442,0.2,0.019212,1.0,0.96572,0.9063,0.49576,0.6,2.5,19.837,2.14579,Opponent scaling,human-vs-human,12,3,,
58,5.1446,0.0029332,0.22515,0.03,1.1568,1.1717,0.8,0.33815,0.5,2.5,20.0,2.37064,Opponent scaling,human-vs-human,12,4,,
59,5.4012,0.0056975,0.091291,0.015219,1.1613,0.25,1.0151,0.365,0.34472,4.7953,13.088,2.28333,Opponent scaling,human-vs-human,12,5,,
60,5.0,0.01,0.2,0.02,1.0,1.0,0.8,1.0,0.3,2.5,15.0,2.29924,Opponent scaling,human-vs-human,13,1,,
61,8.5293,0.010999,0.24488,0.023875,1.3275,1.0891,0.65207,0.59462,0.2338,3.0177,-717.52,2.04712,Opponent scaling,human-vs-human,13,2,,
62,8.0944,0.0047889,0.46666,0.021111,1.0,0.93198,0.4,1.3333,0.3,4.6667,-35.0,2.52066,Opponent scaling,human-vs-human,13,3,,
63,3.1252,0.01054,0.26405,0.01,0.97377,0.98313,0.77302,1.03,0.47752,3.3858,6.4466,2.28411,Opponent scaling,human-vs-human,13,4,,
64,4.0615,0.0048045,0.41235,0.03,0.73555,1.4828,0.44687,1.037,0.3,2.5,30.0,2.49654,Opponent scaling,human-vs-human,13,5,,
65,6.1294,0.005,0.23038,0.04,1.0,2.0,0.4,0.8,0.5,2.5,15.0,1.57715,Opponent scaling,human-vs-human,14,1,,
66,3.038,0.001,0.2049,0.013401,2.3088,1.4788,0.10969,1.1222,0.27838,3.1301,9.502,2.25074,Opponent scaling,human-vs-human,14,2,,
67,2.3918,0.010362,0.31269,0.013611,2.1795,1.4328,0.56031,1.0417,0.32708,3.4129,14.667,2.12824,Opponent scaling,human-vs-human,14,3,,
68,3.2346,0.0076208,0.24618,0.02213,1.643,1.2944,0.39931,1.16,0.25728,3.8974,3.7576,1.97216,Opponent scaling,human-vs-human,14,4,,
69,5.0576,0.011698,0.32692,0.034931,1.1709,2.0075,0.095572,0.79866,0.39996,2.8312,0.017699,1.5387,Opponent scaling,human-vs-human,14,5,,
