,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,6.9859,0.0057988,0.35161,0.030143,1.3578,2.11585,Optimal weights,human-vs-human,1,1,,
1,6.8319,0.0058333,0.2958,0.015,1.362,1.8541400000000003,Optimal weights,human-vs-human,1,2,,
2,5.702,0.0039781,0.41689,0.01,1.5921,2.1072800000000003,Optimal weights,human-vs-human,1,3,,
3,6.9911,0.012597,0.33492,0.016007,1.4738,1.9226300000000003,Optimal weights,human-vs-human,1,4,,
4,5.7707,0.001,0.30542,0.020814,1.6,2.2723000000000004,Optimal weights,human-vs-human,1,5,,
5,6.8027,0.0090537,0.49824,0.01,1.9848,1.93026,Optimal weights,human-vs-human,2,1,,
6,4.282,0.0036576,0.47405,0.014517,0.9459,1.74668,Optimal weights,human-vs-human,2,2,,
7,10.0,0.0056354,0.40803,0.022159,1.4659,1.8607500000000001,Optimal weights,human-vs-human,2,3,,
8,2.8393,0.011397,0.28079,0.03968,1.3619,2.4135200000000006,Optimal weights,human-vs-human,2,4,,
9,5.0,0.001,0.4,0.01,1.362,2.1589300000000002,Optimal weights,human-vs-human,2,5,,
10,2.5234,0.001,0.42126,0.016377,1.3583,1.9102900000000003,Optimal weights,human-vs-human,3,1,,
11,5.1863,0.001,0.29105,0.019547,2.7428,1.8343900000000002,Optimal weights,human-vs-human,3,2,,
12,3.0575,0.002236,0.27541,0.019353,1.3564,2.14287,Optimal weights,human-vs-human,3,3,,
13,6.4329,0.0020963,0.41539,0.01,5.9598,1.7839399999999999,Optimal weights,human-vs-human,3,4,,
14,2.7546,0.001,0.4204,0.020442,5.0074,2.0157200000000004,Optimal weights,human-vs-human,3,5,,
15,2.8435,0.014748,0.60098,0.030051,1.3592,2.45475,Optimal weights,human-vs-human,4,1,,
16,3.0,0.001,0.55633,0.028338,1.362,2.39059,Optimal weights,human-vs-human,4,2,,
17,6.023,0.0025999,0.74766,0.035178,2.8363,2.15091,Optimal weights,human-vs-human,4,3,,
18,2.0103,0.001,0.63704,0.04,1.362,2.13633,Optimal weights,human-vs-human,4,4,,
19,8.9616,0.012182,0.53333,0.01,1.362,2.4786200000000003,Optimal weights,human-vs-human,4,5,,
20,5.0,0.0036667,0.24813,0.02,1.135,1.6516799999999996,Optimal weights,human-vs-human,5,1,,
21,9.9999,0.005,0.3,0.045,1.362,2.00118,Optimal weights,human-vs-human,5,2,,
22,5.1916,0.001,0.19793,0.015048,1.403,2.18916,Optimal weights,human-vs-human,5,3,,
23,3.0,0.01,0.2,0.02,1.362,1.5819300000000003,Optimal weights,human-vs-human,5,4,,
24,5.0,0.0059973,0.21711,0.038764,1.362,1.6791999999999998,Optimal weights,human-vs-human,5,5,,
25,4.9395,0.001,0.19789,0.01,1.2533,1.4438,Optimal weights,human-vs-human,6,1,,
26,10.0,0.0041707,0.18788,0.02,1.362,1.42798,Optimal weights,human-vs-human,6,2,,
27,10.0,0.0072423,0.18617,0.021381,1.3418,1.50717,Optimal weights,human-vs-human,6,3,,
28,4.1833,0.001,0.21111,0.02,1.362,0.949031,Optimal weights,human-vs-human,6,4,,
29,3.6357,0.005,0.0,0.01,1.362,2.04576,Optimal weights,human-vs-human,6,5,,
30,3.2373,0.0087076,0.49041,0.03829,2.6003,2.10154,Optimal weights,human-vs-human,7,1,,
