,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,horizontal feature drop rate,vertical feature drop rate,diagonal feature drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,2.8145,0.0052023,0.021197,0.8381,0.6086,1.0,0.26481,2.5,15.0,0.2,0.16667,0.2,2.0153,Orientation-dependent dropping,human-vs-human,1,1,,
1,3.0866,0.0079112,0.01,1.0,0.15154,1.1207,0.23786,2.5,15.0,0.2,0.16667,0.2,1.7962700000000003,Orientation-dependent dropping,human-vs-human,1,2,,
2,7.0,0.01,0.02,1.0,0.8,1.0,0.3,2.5,15.0,0.2,0.2,0.2,2.19893,Orientation-dependent dropping,human-vs-human,1,3,,
3,10.0,0.0072182,0.018493,0.66048,0.4382,1.1545,0.31712,3.0629,13.764,0.26182,0.0,0.23565,1.9307400000000001,Orientation-dependent dropping,human-vs-human,1,4,,
4,4.9851,0.001,0.01,0.99559,0.60056,0.99496,0.49622,2.5088,14.96,0.26318,0.19798,0.19863,2.28114,Orientation-dependent dropping,human-vs-human,1,5,,
5,4.2499,0.0099999,0.019685,1.0,0.70139,0.57807,0.6,2.5,15.0,0.2,0.1,0.2,1.9390299999999996,Orientation-dependent dropping,human-vs-human,2,1,,
6,5.0,0.0080061,0.023333,1.0,0.53333,1.0,1.0,3.1713,15.0,0.2,0.3,0.1,1.6827999999999999,Orientation-dependent dropping,human-vs-human,2,2,,
7,7.7264,0.0080103,0.01,1.4365,0.4,1.0,0.27749,3.5,15.0,0.32611,0.2,0.2,2.071,Orientation-dependent dropping,human-vs-human,2,3,,
8,10.0,0.0016923,0.029231,1.4038,0.38462,0.53846,0.6,1.6923,23.692,0.015385,0.051633,0.059095,2.4759800000000003,Orientation-dependent dropping,human-vs-human,2,4,,
9,3.0,0.01,0.02,0.88021,0.68028,0.69101,0.4,2.5,15.0,0.2,0.2,0.16667,2.21634,Orientation-dependent dropping,human-vs-human,2,5,,
10,2.8338,0.005,0.018288,1.0,0.8,0.84552,0.3,3.3333,15.0,0.2,0.2,0.2,1.8297,Orientation-dependent dropping,human-vs-human,3,1,,
11,2.1107,0.001,0.019766,1.1713,0.8,0.93574,0.4,2.5,12.001,0.2,0.25446,0.2,1.7339099999999998,Orientation-dependent dropping,human-vs-human,3,2,,
12,3.0,0.0052778,0.01,1.0,0.83196,1.3333,0.4,4.6667,15.0,0.44317,0.2,0.21579,1.8615199999999998,Orientation-dependent dropping,human-vs-human,3,3,,
13,0.80653,0.005439,0.01,1.0,0.8,0.8,0.3,2.5,8.7824,0.2,0.2,0.2,1.92728,Orientation-dependent dropping,human-vs-human,3,4,,
14,3.1746,0.0049527,0.034631,0.90258,0.87469,1.0775,0.58048,4.9871,15.059,0.40443,0.0,0.20295,1.9023299999999999,Orientation-dependent dropping,human-vs-human,3,5,,
15,3.9533,0.0036277,0.019444,0.97753,0.77499,1.0278,0.47917,2.4514,20.292,0.24303,0.41667,0.1784,2.30458,Orientation-dependent dropping,human-vs-human,4,1,,
16,3.0035,0.001,0.022016,0.25,1.0637,1.0074,0.33242,2.4871,14.941,0.22891,0.19705,0.2007,2.4243,Orientation-dependent dropping,human-vs-human,4,2,,
17,2.1333,0.01,0.04,0.5,0.8,1.1687,0.3,3.5,15.0,0.2,0.18053,0.2,2.1763100000000004,Orientation-dependent dropping,human-vs-human,4,3,,
18,2.6453,0.001,0.086461,0.43783,0.91552,0.87534,0.22114,2.2877,13.997,0.24991,0.24831,0.25169,1.8468000000000004,Orientation-dependent dropping,human-vs-human,4,4,,
19,7.3761,0.010882,0.026779,1.0069,0.99036,0.9921,0.38884,5.1412,14.932,0.22568,0.19186,0.19682,2.4500800000000003,Orientation-dependent dropping,human-vs-human,4,5,,
20,9.4444,0.005,0.02,0.5,0.88889,0.63718,1.0,8.5603,15.0,0.14687,0.2,0.2,1.6591700000000003,Orientation-dependent dropping,human-vs-human,5,1,,
21,3.0,0.001,0.02793,0.75,0.88889,-0.010245,0.14568,3.5393,8.0331,0.2,0.2,0.2,1.9941600000000002,Orientation-dependent dropping,human-vs-human,5,2,,
22,7.9988,0.001,0.011423,0.50015,0.79973,0.70532,0.30019,4.666,15.002,0.20012,0.16657,0.20012,2.34011,Orientation-dependent dropping,human-vs-human,5,3,,
23,5.1395,0.001,0.024695,0.25,0.94688,0.72566,0.15499,3.8931,15.0,0.4,0.1,0.18889,1.6585900000000002,Orientation-dependent dropping,human-vs-human,5,4,,
24,5.9664,0.001,0.015005,0.73839,0.5307,0.36433,0.47739,4.355,133.76,0.09268,0.26618,0.073296,1.57334,Orientation-dependent dropping,human-vs-human,5,5,,
25,10.0,0.001,0.01,0.5,0.8,0.8,0.3,5.0,7.156,0.1,0.2,0.2,1.4927899999999998,Orientation-dependent dropping,human-vs-human,6,1,,
26,3.3788,0.005,0.018333,0.36111,0.8,1.0,0.3,3.8699,22.222,0.12922,0.066667,0.22245,1.3992900000000001,Orientation-dependent dropping,human-vs-human,6,2,,
27,7.0,0.01,0.02,1.0,0.8,1.0,0.3,2.5,15.0,0.2,0.2,0.2,1.80615,Orientation-dependent dropping,human-vs-human,6,3,,
28,10.0,0.0064507,0.01,0.50566,1.0113,0.95116,0.40118,3.7633,26.785,0.19547,0.20453,0.19547,0.9778139999999998,Orientation-dependent dropping,human-vs-human,6,4,,
29,3.3492,0.0036033,0.01,0.5,0.8,1.0,0.3,5.0,15.0,0.2,0.2,0.0,1.55816,Orientation-dependent dropping,human-vs-human,6,5,,
30,7.0,0.0099999,0.01,2.0,0.64759,0.60667,0.3,2.5,15.0,0.2,0.2,0.089572,2.14655,Orientation-dependent dropping,human-vs-human,7,1,,
31,5.9804,0.013023,0.01,2.0,0.4,0.60646,0.4,3.5,15.0,0.2462,0.0,0.1,2.21542,Orientation-dependent dropping,human-vs-human,7,2,,
32,3.6206,0.012411,0.02,1.0,0.53333,1.1111,0.3,3.5,10.0,0.4809,0.0,0.23435,2.7735399999999997,Orientation-dependent dropping,human-vs-human,7,3,,
33,3.8508,0.020049,0.011606,1.0544,0.36102,0.94281,0.3991,4.9978,13.343,0.26773,0.17962,0.20051,1.64815,Orientation-dependent dropping,human-vs-human,7,4,,
34,8.4059,0.0096937,0.033051,1.711,1.0462,0.81532,0.38894,3.8506,14.864,0.38639,0.098511,0.19319,2.12616,Orientation-dependent dropping,human-vs-human,7,5,,
35,9.9999,0.011667,0.02,1.1667,0.36816,0.53885,1.0,8.231,15.0,0.2,0.4,0.2,1.6512799999999999,Orientation-dependent dropping,human-vs-human,8,1,,
36,3.4368,0.0059691,0.02448,0.80405,0.57323,0.94357,0.44556,6.9922,14.198,0.28957,0.11042,0.15988,2.80573,Orientation-dependent dropping,human-vs-human,8,2,,
37,2.8887,0.0058333,0.02,1.0,0.46863,0.62333,0.6,5.0,15.0,0.2,0.2,0.2,1.4758499999999999,Orientation-dependent dropping,human-vs-human,8,3,,
38,10.0,0.001,0.030058,0.77269,0.32506,0.61888,2.1973,12.421,14.536,0.61408,0.17681,0.20309,1.8341999999999998,Orientation-dependent dropping,human-vs-human,8,4,,
39,5.0,0.0053367,0.018174,1.0,0.32589,0.8,0.65745,5.0,15.0,0.7,0.2,0.2,1.90262,Orientation-dependent dropping,human-vs-human,8,5,,
40,7.0,0.019404,0.02,1.0,0.48024,1.0,0.6,2.5,30.0,0.2,0.2,0.3,2.5808299999999997,Orientation-dependent dropping,human-vs-human,9,1,,
41,6.3218,0.0090392,0.01,1.0184,0.31367,0.77974,0.7057,2.4317,14.688,0.21561,0.21695,0.18439,3.2458400000000003,Orientation-dependent dropping,human-vs-human,9,2,,
42,4.0667,0.003,0.02,0.99999,0.41022,1.0,0.66666,2.5,30.0,0.2,0.2,0.2,3.3049399999999998,Orientation-dependent dropping,human-vs-human,9,3,,
43,5.1907,0.029612,0.018889,1.0,0.75428,0.88097,0.30267,2.2907,11.144,0.2,0.0,0.22222,2.6119100000000004,Orientation-dependent dropping,human-vs-human,9,4,,
44,5.0,0.005,0.01,1.0,-0.49815,1.0,0.3,2.5,15.0,0.2,0.25258,0.2,2.3403,Orientation-dependent dropping,human-vs-human,9,5,,
45,7.1542,0.024102,0.03,1.1983,0.62605,0.8,0.33333,2.5,8.1855,0.2,0.2037,0.2,2.28806,Orientation-dependent dropping,human-vs-human,10,1,,
46,5.549,0.001,0.015577,1.1172,0.56452,0.89756,0.36831,2.2338,15.799,0.32905,0.16062,0.22281,2.8088199999999994,Orientation-dependent dropping,human-vs-human,10,2,,
47,3.975,0.039,0.01,0.61806,0.94781,0.94106,0.925,3.375,19.0,0.4,0.4,0.0,1.5880100000000001,Orientation-dependent dropping,human-vs-human,10,3,,
48,7.5252,0.0099999,0.034328,1.0,0.63062,0.53203,0.4,1.2758,15.0,0.2,0.21111,0.2,2.41294,Orientation-dependent dropping,human-vs-human,10,4,,
49,7.0766,0.0099999,0.01,1.4017,0.8,1.0,1.3629,2.5,6.3553,0.2257,0.4,0.2,2.66461,Orientation-dependent dropping,human-vs-human,10,5,,
50,3.0068,0.0022548,0.023673,1.0,0.98265,1.0,0.3,5.0,15.0,0.2,0.2,0.28201,2.1104,Orientation-dependent dropping,human-vs-human,11,1,,
51,3.7644,0.005,0.02,1.0,0.8,1.0,0.3,2.5,15.0,0.2,0.2,0.2,1.7523199999999999,Orientation-dependent dropping,human-vs-human,11,2,,
52,5.0305,0.001,0.059112,0.56499,1.2474,1.3318,0.62685,5.87,11.023,0.39886,0.40114,0.019437,1.59184,Orientation-dependent dropping,human-vs-human,11,3,,
53,7.1235,0.0025528,0.01,0.87499,1.1097,1.0536,2.4402,3.2072,13.332,0.21875,0.21983,0.19995,1.87947,Orientation-dependent dropping,human-vs-human,11,4,,
54,5.0,0.0047735,0.01,1.0,0.8,0.80026,1.6717,3.6563,12.003,0.2,0.1,0.2,1.91832,Orientation-dependent dropping,human-vs-human,11,5,,
55,8.0133,0.001,0.020301,0.99973,0.99666,-0.33607,0.41491,3.4628,15.528,0.13244,0.16556,0.20133,1.7307199999999998,Orientation-dependent dropping,human-vs-human,12,1,,
56,6.8083,0.001,0.01,0.90718,0.58867,0.39119,0.33333,1.3714,15.0,0.2,0.20208,0.2,1.5781500000000002,Orientation-dependent dropping,human-vs-human,12,2,,
57,6.7875,0.0068888,0.01,1.0,1.0667,-0.52495,0.3,2.5,15.0,0.16667,0.3,0.2,2.14837,Orientation-dependent dropping,human-vs-human,12,3,,
58,6.5186,0.006259,0.022946,0.25,1.2438,0.32871,0.33832,3.0218,16.13,0.14678,0.13957,0.54816,2.47009,Orientation-dependent dropping,human-vs-human,12,4,,
59,6.7564,0.01048,0.01,0.5127,0.92488,0.74517,0.28829,2.8734,18.267,0.2,0.2,0.19259,2.1296000000000004,Orientation-dependent dropping,human-vs-human,12,5,,
60,2.9239,0.011111,0.020305,1.0314,0.55474,0.72744,0.22815,2.5,-5.4882,0.22417,0.20001,0.20001,2.18586,Orientation-dependent dropping,human-vs-human,13,1,,
61,3.8786,0.015944,0.037753,2.0544,0.74448,0.8962,0.35223,2.3921,16.019,0.23924,0.093614,0.3087,2.14254,Orientation-dependent dropping,human-vs-human,13,2,,
62,2.7406,0.015101,0.02,0.82833,0.4,0.95429,0.3,2.5,10.0,0.2,0.2,0.2,2.5186699999999997,Orientation-dependent dropping,human-vs-human,13,3,,
63,1.403,0.021302,0.01,1.1675,0.59851,0.8,0.55556,2.4015,20.0,0.19236,0.2,0.2,2.39273,Orientation-dependent dropping,human-vs-human,13,4,,
64,2.6487,0.0057778,0.03,1.0,0.44444,1.0,0.46322,2.5,93.946,0.2,0.2,0.2,2.5170900000000005,Orientation-dependent dropping,human-vs-human,13,5,,
65,4.6085,0.010107,0.020473,1.0111,0.37735,0.69423,0.45652,3.9729,11.953,0.20265,0.22274,0.25707,1.66768,Orientation-dependent dropping,human-vs-human,14,1,,
66,10.0,0.01,0.02199,3.4346,0.53957,0.69741,0.3,2.5,0.83209,0.2,0.3,0.3,2.22361,Orientation-dependent dropping,human-vs-human,14,2,,
67,5.0934,0.0042016,0.014586,1.4177,0.2837,0.8855,0.47958,3.1366,15.375,0.23305,0.13364,0.28702,2.1087100000000003,Orientation-dependent dropping,human-vs-human,14,3,,
68,8.0,0.01,0.02071,2.0,0.3521,0.91944,0.6,4.2858,-135.0,0.2,0.2,0.2,2.22089,Orientation-dependent dropping,human-vs-human,14,4,,
69,5.234,0.01,0.01,1.0,0.59694,1.2433,0.3,4.9942,30.0,0.18042,0.2,0.3,1.62548,Orientation-dependent dropping,human-vs-human,14,5,,
70,1.5681,0.0040556,0.021451,0.78072,0.59428,0.99074,0.41756,5.4798,19.903,0.1963,0.1963,0.2037,1.69774,Orientation-dependent dropping,human-vs-human,15,1,,
71,2.1562,0.01,0.02,0.99999,0.50141,0.57298,1.1911,3.5,26.667,0.2,0.1,0.18889,1.5552,Orientation-dependent dropping,human-vs-human,15,2,,
72,3.0,0.0036667,0.01,1.0,0.8,1.0,1.2494,2.5,15.0,0.24385,0.2,0.2,1.9379000000000002,Orientation-dependent dropping,human-vs-human,15,3,,
73,3.0,0.005,0.02,0.5,0.8,0.8,0.4,5.0,20.0,0.2,0.2,0.2,2.39497,Orientation-dependent dropping,human-vs-human,15,4,,
74,7.0,0.006674,0.018333,0.4928,0.4,1.0667,1.5251,5.0,15.0,0.2495,0.16667,0.0,2.21936,Orientation-dependent dropping,human-vs-human,15,5,,
75,5.6944,0.0012246,0.02,1.0,0.8,1.0,0.6,3.7212,7.2109,0.2286,0.2,0.2,2.6220399999999997,Orientation-dependent dropping,human-vs-human,16,1,,
76,6.533,0.0057551,0.01,2.0237,0.51042,0.6801,0.6672,4.0016,18.377,0.43096,0.2092,0.19551,2.2809299999999997,Orientation-dependent dropping,human-vs-human,16,2,,
77,6.425,0.001,0.03,1.5581,0.8,0.72282,0.20797,3.5,15.0,0.4,0.27477,0.23333,1.37973,Orientation-dependent dropping,human-vs-human,16,3,,
78,3.0,0.0070011,0.015,1.0,0.62088,1.0,0.4,2.5,20.0,0.2,0.15525,0.2,1.77679,Orientation-dependent dropping,human-vs-human,16,4,,
79,5.1378,0.001,0.020456,1.0493,0.75612,1.0025,0.39837,4.4977,29.98,0.37645,0.11539,0.28285,1.63415,Orientation-dependent dropping,human-vs-human,16,5,,
80,10.0,0.01,0.02,1.0,0.48896,1.0,0.3,2.5,20.0,0.2,0.2,0.25389,1.9112500000000001,Orientation-dependent dropping,human-vs-human,17,1,,
81,5.0,0.0087227,0.07345,1.0,0.60341,0.83652,0.33286,2.5,20.0,0.2,0.2,0.2,2.40989,Orientation-dependent dropping,human-vs-human,17,2,,
82,3.0,0.01,0.019444,1.0,0.51171,1.0,0.3,2.5,15.0,0.2,0.2,0.2,2.75155,Orientation-dependent dropping,human-vs-human,17,3,,
83,5.2056,0.0050077,0.020134,1.0493,0.48042,1.0727,0.42742,2.5117,15.054,0.2746,0.15303,0.19112,2.2977499999999997,Orientation-dependent dropping,human-vs-human,17,4,,
