,pruning threshold,stopping probability,feature drop rate,lapse rate,horizontal-vertical scaling,horizontal-diagonal scaling,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,2.8389,0.005,0.15,0.02,2.0328,1.0,0.625,0.8,1.0,0.6,2.5911,15.0,2.10344,Orientation-dependent weights,human-vs-human,1,1,,
1,3.7927,0.001,0.2,0.01,0.91404,0.99999,0.69378,0.67445,0.97476,0.3,2.5,15.0,1.74804,Orientation-dependent weights,human-vs-human,1,2,,
2,2.5588,0.010054,0.20029,0.01994,1.0815,1.0026,0.94236,0.58647,0.99701,0.25222,3.3386,15.024,2.1607899999999995,Orientation-dependent weights,human-vs-human,1,3,,
3,7.1754,0.005422,0.20756,0.014269,0.99241,1.1144,0.50434,0.64641,1.3232,0.26764,2.4848,16.743,1.9685000000000001,Orientation-dependent weights,human-vs-human,1,4,,
4,4.5,0.001,0.2,0.01,0.875,1.0,1.0,0.8,1.0,0.3,2.5,15.0,2.28757,Orientation-dependent weights,human-vs-human,1,5,,
5,7.6623,0.001,0.49685,0.01835,0.653,1.0009,1.0344,0.78352,0.78844,0.29279,2.5018,11.675,1.9724999999999997,Orientation-dependent weights,human-vs-human,2,1,,
6,4.9357,0.012112,0.21307,0.024355,1.2945,1.0,1.0594,0.8,0.38569,0.3,2.5,30.0,1.66872,Orientation-dependent weights,human-vs-human,2,2,,
7,6.2377,0.0052586,0.20002,0.023333,1.0461,1.0442,1.1379,0.39997,0.7505,0.89391,2.7777,15.0,1.87668,Orientation-dependent weights,human-vs-human,2,3,,
8,10.0,0.001,0.21952,0.02,1.0,0.95833,1.1667,0.57133,0.73394,0.2185,2.5,15.0,2.52004,Orientation-dependent weights,human-vs-human,2,4,,
9,7.0,0.01,0.1,0.02,1.0,1.0,1.0,0.8,1.0,0.3,2.5,15.0,2.27277,Orientation-dependent weights,human-vs-human,2,5,,
10,2.8338,0.0056154,0.2949,0.017514,1.1831,0.81695,1.1831,0.98828,1.2092,0.43598,3.9707,17.803,1.7834599999999998,Orientation-dependent weights,human-vs-human,3,1,,
11,4.2882,0.0054812,0.31807,0.018797,0.94737,1.0303,2.0827,0.85413,0.93985,0.3391,2.6053,6.6547,1.7708199999999998,Orientation-dependent weights,human-vs-human,3,2,,
12,3.0,0.005,0.20439,0.01,2.036,1.1647,1.0556,0.8018,1.0473,0.55556,3.3333,20.047,1.88617,Orientation-dependent weights,human-vs-human,3,3,,
13,2.9847,0.0062814,0.20467,0.01,1.667,1.3003,1.0002,1.0005,1.0082,0.30534,3.9459,14.934,1.77521,Orientation-dependent weights,human-vs-human,3,4,,
14,3.1289,0.008719,0.2854,0.016674,1.0,1.3897,1.2027,1.0667,1.3333,0.3,4.6666,20.0,1.9474399999999998,Orientation-dependent weights,human-vs-human,3,5,,
15,2.3155,0.56551,0.24909,0.033875,0.99999,1.176,0.25,0.8,1.6,0.4,5.0,16.667,2.4397999999999995,Orientation-dependent weights,human-vs-human,4,1,,
16,3.6787,0.002148,0.4,0.01,1.0398,1.1187,1.0,0.92009,1.0,0.3,2.5,15.0,2.3308999999999997,Orientation-dependent weights,human-vs-human,4,2,,
17,2.8389,0.01,0.33338,0.025777,1.0,1.0,0.95833,0.72672,1.0,0.4,3.3333,15.0,2.17626,Orientation-dependent weights,human-vs-human,4,3,,
18,2.7265,0.001,0.38513,0.010863,1.1436,1.3357,0.99472,0.80752,1.0,0.66667,2.5,20.0,1.82089,Orientation-dependent weights,human-vs-human,4,4,,
19,5.0,0.001,0.27578,0.02,1.0,0.875,0.99999,0.8,0.78003,0.27793,3.3333,15.0,2.39357,Orientation-dependent weights,human-vs-human,4,5,,
20,5.025,0.001,0.16322,0.017502,0.60286,1.4375,0.55032,0.15763,0.5,0.625,4.625,11.0,1.7424400000000002,Orientation-dependent weights,human-vs-human,5,1,,
21,7.0,0.001,0.28033,0.03549,1.0,0.875,1.0,0.8,0.51524,-0.072391,4.6667,15.0,1.8900100000000002,Orientation-dependent weights,human-vs-human,5,2,,
22,8.9928,0.001,0.20064,0.019928,0.99685,0.99686,1.0056,0.63735,0.58411,0.39767,3.3862,14.971,2.28489,Orientation-dependent weights,human-vs-human,5,3,,
23,3.0,0.0032923,0.3,0.02,1.0264,1.0994,0.65057,0.6454,0.86783,0.6,5.0,20.0,1.61512,Orientation-dependent weights,human-vs-human,5,4,,
24,3.0104,0.001,0.19981,0.01,1.1613,1.0254,0.49691,0.43998,0.79443,0.60402,3.4861,13.181,1.63479,Orientation-dependent weights,human-vs-human,5,5,,
25,4.9059,0.005,0.0,0.02,2.3766,0.45161,0.5,0.8,1.0,0.3,3.5889,15.0,1.61978,Orientation-dependent weights,human-vs-human,6,1,,
26,7.0,0.002,0.18889,0.04,1.0454,1.0,0.95932,0.8,1.3333,0.16223,2.5,7.9923,1.47936,Orientation-dependent weights,human-vs-human,6,2,,
27,8.0,0.0023333,0.3,0.02,1.0,0.99999,0.5,1.1111,1.0,0.3,3.611,15.0,1.6195,Orientation-dependent weights,human-vs-human,6,3,,
28,7.0348,0.001,0.19874,0.019874,1.0062,0.99229,1.0077,0.80793,0.99119,0.30573,2.4846,15.07,0.9104110000000001,Orientation-dependent weights,human-vs-human,6,4,,
29,6.425,0.001,0.3,0.02,1.1667,0.8143,1.0,0.8,1.0,0.3,2.5,15.0,1.61798,Orientation-dependent weights,human-vs-human,6,5,,
30,8.4359,0.01,0.48768,0.02,1.0,2.3461,1.6472,0.8,1.0,0.3,2.8093,15.0,2.12257,Orientation-dependent weights,human-vs-human,7,1,,
31,10.0,0.02241,0.19921,0.02,1.8409,2.0884,1.2369,0.8,1.3333,0.31111,4.6667,32.616,2.15684,Orientation-dependent weights,human-vs-human,7,2,,
32,4.4641,0.003,0.37778,0.02,2.0,1.3043,1.1667,0.76628,1.1111,0.3,5.5555,13.333,3.2549299999999994,Orientation-dependent weights,human-vs-human,7,3,,
33,3.0,0.0071091,0.2,0.01,1.3695,2.2451,1.0,0.53333,1.0,0.4,2.5,13.333,1.76714,Orientation-dependent weights,human-vs-human,7,4,,
34,2.5125,0.0145,0.11062,0.065579,3.6354,1.2188,0.89792,0.49433,0.75,0.5,2.0625,13.0,2.1907699999999997,Orientation-dependent weights,human-vs-human,7,5,,
35,6.1325,0.001,0.38698,0.023575,1.0639,1.176,1.2578,0.21008,0.67753,0.34098,3.6899,29.759,1.49203,Orientation-dependent weights,human-vs-human,8,1,,
36,2.597,0.001,0.16798,0.022069,0.65277,1.47,1.0143,0.13823,0.40682,0.86667,2.8333,15.0,2.4996099999999997,Orientation-dependent weights,human-vs-human,8,2,,
37,7.2176,0.0095468,0.20131,0.022491,1.1657,0.99907,0.99942,-0.14593,0.79076,1.4065,5.2856,7.0308,1.3959,Orientation-dependent weights,human-vs-human,8,3,,
38,3.9652,0.0050037,0.28208,0.019997,1.0005,2.0005,0.99959,-0.43257,0.8829,1.3497,5.0011,20.889,2.02928,Orientation-dependent weights,human-vs-human,8,4,,
39,6.112,0.001,0.38875,0.014982,0.87742,1.5511,1.2233,0.44789,0.64936,0.21926,3.8146,16.151,2.05398,Orientation-dependent weights,human-vs-human,8,5,,
40,4.1311,0.005,0.46445,0.023333,2.0,1.1667,1.0,0.39025,1.0,0.5,2.5,6.1943,2.53585,Orientation-dependent weights,human-vs-human,9,1,,
41,3.0935,0.02254,0.21963,0.018333,0.95833,1.0,1.0,-0.30398,1.0,0.3,2.5,6.5077,3.43354,Orientation-dependent weights,human-vs-human,9,2,,
42,7.0,0.0036844,0.4,0.024092,1.0,1.0214,1.0,0.36411,1.0,0.3,3.0,30.0,3.27184,Orientation-dependent weights,human-vs-human,9,3,,
43,4.2887,0.014126,0.32953,0.017316,1.0,0.76533,1.0,0.46087,1.3333,0.3,2.5,15.0,2.5621300000000002,Orientation-dependent weights,human-vs-human,9,4,,
44,10.0,0.011107,0.22034,0.019962,2.0018,0.98918,1.1647,0.67858,0.61419,0.30126,1.458,-8.3204,2.44944,Orientation-dependent weights,human-vs-human,9,5,,
45,5.0,0.02,0.2,0.02,1.2056,2.0,1.1374,0.8,0.50814,0.3,2.5,11.69,2.1388299999999996,Orientation-dependent weights,human-vs-human,10,1,,
46,10.0,0.01,0.16667,0.02,1.0,1.0,1.0,0.4,1.0,0.3,2.5,10.0,2.8496699999999997,Orientation-dependent weights,human-vs-human,10,2,,
