,pruning threshold,stopping probability,tile drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,2.8578,0.0075143,0.099341,0.016381,0.99,0.30334,0.86191,0.47217,2.7417,13.895,2.13214,Tile dropping,human-vs-human,1,1,,
1,2.5431,0.001,0.21807,0.023313,0.83357,0.83434,1.2073,0.43476,2.9893,15.698,1.68303,Tile dropping,human-vs-human,1,2,,
2,3.0,0.0043333,0.2,0.03,0.625,0.37222,1.323,0.4,2.5,20.0,2.1368,Tile dropping,human-vs-human,1,3,,
3,3.0,0.0075129,0.1768,0.028827,0.5,0.8,1.2268,0.39218,3.1754,10.0,1.8859100000000002,Tile dropping,human-vs-human,1,4,,
4,3.0,0.001,0.2,0.016667,0.74695,0.8,1.1046,0.3,2.5,30.0,2.32409,Tile dropping,human-vs-human,1,5,,
5,5.0,0.007,0.0,0.024183,1.0591,0.67092,0.35279,0.4,1.1282,9.6472,2.04275,Tile dropping,human-vs-human,2,1,,
6,10.0,0.005,0.18101,0.019138,0.5,0.8,0.8,1.7119,1.5599,15.0,1.93606,Tile dropping,human-vs-human,2,2,,
7,8.9606,0.001,0.19078,0.02,1.3019,0.8,1.0,0.3,2.5,15.0,2.1400300000000003,Tile dropping,human-vs-human,2,3,,
8,3.9315,0.0017257,0.010419,0.010355,1.4075,0.77163,0.63174,0.6608,1.5286,19.44,2.5431999999999997,Tile dropping,human-vs-human,2,4,,
9,5.0,0.005,0.16667,0.017941,1.1667,0.8,0.33486,1.35,3.3872,15.0,2.1815599999999997,Tile dropping,human-vs-human,2,5,,
10,1.4096,0.001,0.25376,0.010333,0.54518,1.1434,1.0348,0.6599,4.5215,13.067,1.75424,Tile dropping,human-vs-human,3,1,,
11,1.6807,0.0050606,0.33312,0.021341,0.94134,1.067,0.93296,0.34357,3.6508,19.296,1.7038999999999997,Tile dropping,human-vs-human,3,2,,
12,3.0,0.001,0.2,0.02,1.0,0.8,1.0,0.4,5.0,30.0,1.99856,Tile dropping,human-vs-human,3,3,,
13,2.4046,0.001,0.2676,0.03,0.96522,1.2774,0.99999,0.4,4.2888,15.0,1.8250500000000003,Tile dropping,human-vs-human,3,4,,
14,3.0,0.001,0.21466,0.017343,0.25,1.0986,1.0,0.3,5.0,15.0,1.9008499999999997,Tile dropping,human-vs-human,3,5,,
15,10.0,0.001,0.30177,0.025241,0.57558,1.4835,1.7595,0.444,3.8291,8.9241,2.1272100000000003,Tile dropping,human-vs-human,4,1,,
16,6.6789,0.001,0.40085,0.022902,1.1053,1.5983,1.0019,0.38839,2.4968,15.015,2.4048000000000003,Tile dropping,human-vs-human,4,2,,
17,10.0,0.001,0.19956,0.020035,0.99781,1.0644,0.99996,0.30016,2.4956,14.98,2.14684,Tile dropping,human-vs-human,4,3,,
