,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,triangle weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,5.0,0.007,0.19941,0.02,0.63651,0.22833,1.0435,0.6,2.5,33.333,0.33333,2.0443100000000003,Triangle,human-vs-human,1,1,,
1,3.0,0.005,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,0.0,1.8338999999999999,Triangle,human-vs-human,1,2,,
2,5.471,0.001,0.33046,0.025752,0.6758,0.18923,1.5073,0.25364,3.3878,19.058,-0.25365,2.0888700000000004,Triangle,human-vs-human,1,3,,
3,5.4569,0.0047407,0.24614,0.01,0.81485,0.59302,1.2843,0.48611,3.3472,16.333,0.19444,1.85593,Triangle,human-vs-human,1,4,,
4,7.0,0.005,0.1,0.01,0.5,0.62043,1.0,0.5,2.5,15.0,0.0,2.2586,Triangle,human-vs-human,1,5,,
5,10.0,0.001,0.4,0.05,1.4375,0.05,0.31546,0.875,2.7077,11.0,-0.18292,1.9798099999999998,Triangle,human-vs-human,2,1,,
6,4.2625,0.0083411,0.1,0.024988,1.2494,0.575,0.575,0.5625,2.9375,14.708,0.20833,1.59355,Triangle,human-vs-human,2,2,,
7,7.0,0.003715,0.22496,0.022587,1.5,0.8,0.30764,0.5,2.5,30.0,0.0,2.0064,Triangle,human-vs-human,2,3,,
8,6.9633,0.010167,0.20371,0.019814,0.99187,0.79164,0.6525,0.43349,2.5163,15.074,-0.0046432,2.46351,Triangle,human-vs-human,2,4,,
9,5.8179,0.010044,0.095627,0.01,0.99786,0.8022,0.90896,0.79829,3.1718,16.645,0.0012214,2.1681,Triangle,human-vs-human,2,5,,
10,2.9463,0.00468,0.31667,0.02,1.0555,1.0667,1.3333,1.1495,4.6667,21.352,0.22174,1.7435199999999997,Triangle,human-vs-human,3,1,,
11,2.55,0.005,0.3,0.03,1.0,0.8,1.4283,0.6,5.0,15.0,0.33333,1.6907299999999998,Triangle,human-vs-human,3,2,,
12,3.1163,0.0042581,0.22478,0.01,0.91456,0.80972,1.041,0.36227,5.1781,15.46,0.34624,1.9373,Triangle,human-vs-human,3,3,,
13,2.8737,0.001,0.22591,0.021296,1.1659,0.7417,0.8989,0.4421,3.062,14.482,-0.03239,1.8308400000000002,Triangle,human-vs-human,3,4,,
14,2.5167,0.0016667,0.3,0.01,0.97867,0.8,1.3249,0.6,5.0,30.0,0.0,1.9324000000000001,Triangle,human-vs-human,3,5,,
15,3.0866,0.01,0.27974,0.02,1.08,0.8,0.85623,0.4,3.3334,15.0,-0.50454,2.3462199999999998,Triangle,human-vs-human,4,1,,
