,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,connected 2-in-a-row drop rate,unconnected 2-in-a-row drop rate,3-in-a-row drop rate,4-in-a-row drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,3.9469,0.0040112,0.01,1.0,0.50011,1.0,0.4239,2.5,15.0,0.2,0.17513,0.21111,0.2,2.0886199999999997,Type-dependent dropping,human-vs-human,1,1,,
1,3.0,0.005,0.02,1.0,0.4,1.0,0.3,2.5,20.0,0.2,0.2,0.2,0.2,1.7830099999999998,Type-dependent dropping,human-vs-human,1,2,,
2,3.0,0.001,0.01,0.51659,0.4,1.4967,0.3,2.5,15.0,0.2,0.16667,0.4,0.2,2.20506,Type-dependent dropping,human-vs-human,1,3,,
3,5.0549,0.001,0.020382,0.78389,0.4,1.3333,0.5,2.5,15.0,0.17746,0.2,0.2,0.2,1.8505000000000003,Type-dependent dropping,human-vs-human,1,4,,
4,3.0,0.01,0.02,0.5,0.8,1.0,0.3,3.3333,15.0,0.2,0.3,0.2,0.2,2.2911200000000003,Type-dependent dropping,human-vs-human,1,5,,
5,7.9227,0.010397,0.01,1.1667,0.61884,0.34817,0.9,2.9717,15.303,0.2,0.2,0.2,0.26667,1.9336900000000004,Type-dependent dropping,human-vs-human,2,1,,
6,9.9999,0.010762,0.01,1.9636,0.63199,0.45528,0.57778,3.3333,15.0,0.2,0.23333,0.30401,0.2,1.69787,Type-dependent dropping,human-vs-human,2,2,,
7,10.0,0.0076309,0.020833,1.6452,0.37083,1.0417,0.32708,3.5381,14.241,0.10833,0.20775,0.21667,0.18333,2.13336,Type-dependent dropping,human-vs-human,2,3,,
8,7.6167,0.0074013,0.01,1.0,0.60193,0.70052,1.0741,3.8889,153.39,0.2,0.3,0.26574,0.2,2.3508999999999998,Type-dependent dropping,human-vs-human,2,4,,
9,4.1833,0.005,0.02,0.99999,0.8,0.82633,0.6,2.5,20.0,0.26984,0.2,0.24571,0.2,2.1685600000000003,Type-dependent dropping,human-vs-human,2,5,,
10,2.9547,0.0072451,0.02,0.625,0.82114,1.0,0.3,5.0,15.0,0.2,0.16667,0.2,0.2,1.7714199999999998,Type-dependent dropping,human-vs-human,3,1,,
11,2.8507,0.001,0.02,1.0,0.8,1.0,0.3,2.3945,15.0,0.2,0.16667,0.2,0.2,1.70918,Type-dependent dropping,human-vs-human,3,2,,
12,2.2413,0.005,0.03,1.0,0.8,0.98297,0.3,5.0,15.0,0.2,0.2,0.4,0.16667,1.97047,Type-dependent dropping,human-vs-human,3,3,,
13,3.1667,0.01,0.03,1.0,1.0,1.0,0.3,5.0,15.0,0.2,0.18889,0.4,0.2,1.80856,Type-dependent dropping,human-vs-human,3,4,,
14,3.0,0.001,0.021448,1.2335,0.8,0.98517,0.3,2.5,15.0,0.2,0.2,0.2,0.2,2.0068200000000003,Type-dependent dropping,human-vs-human,3,5,,
15,4.6839,0.0092785,0.020679,1.0483,1.0427,0.9894,0.59588,3.44,13.27,0.19448,0.21067,0.19467,0.3277,2.3278,Type-dependent dropping,human-vs-human,4,1,,
16,3.0012,0.004995,0.01,0.91647,0.80056,1.0005,0.30041,2.4989,15.005,0.22959,0.23304,0.20024,0.19997,2.42099,Type-dependent dropping,human-vs-human,4,2,,
17,5.2377,0.0048438,0.02053,0.99753,0.97215,0.88626,0.31721,4.5278,9.8544,0.19798,0.19498,0.50537,0.18695,2.1818400000000002,Type-dependent dropping,human-vs-human,4,3,,
18,3.6814,0.001,0.016108,0.25,0.8,1.0,0.30325,3.3333,9.0393,0.2,0.2,0.2,0.2,1.84879,Type-dependent dropping,human-vs-human,4,4,,
19,5.157,0.0073656,0.015,1.0,0.88889,0.76101,0.22355,3.8889,15.0,0.20844,0.2,0.2872,0.36201,2.41193,Type-dependent dropping,human-vs-human,4,5,,
20,4.0,0.0036667,0.013333,0.4941,0.48957,0.82096,1.1111,4.6348,13.857,0.18889,0.16667,0.2,0.2,1.6872699999999998,Type-dependent dropping,human-vs-human,5,1,,
21,5.1359,0.001,0.01977,0.60037,0.78476,0.55858,1.769,7.9613,14.998,0.15228,0.17708,0.25801,0.13333,2.02761,Type-dependent dropping,human-vs-human,5,2,,
22,3.0,0.0037577,0.016553,0.43929,0.8,0.99999,0.219,11.25,20.0,0.2,0.099999,0.2,0.2,2.33499,Type-dependent dropping,human-vs-human,5,3,,
23,2.9441,0.001468,0.020264,0.90758,0.79926,0.79926,0.50403,3.4981,11.503,0.32331,0.30027,0.1001,0.19986,1.51516,Type-dependent dropping,human-vs-human,5,4,,
24,3.3667,0.001,0.04,0.25,0.8,1.0,0.4,2.8245,15.0,0.2,0.2,0.2,0.2,1.7549199999999998,Type-dependent dropping,human-vs-human,5,5,,
25,10.0,0.0021061,0.03,0.43936,0.8,0.99999,0.5,7.0,30.0,0.21111,0.2,0.2,0.2,1.44197,Type-dependent dropping,human-vs-human,6,1,,
26,9.9999,0.001,0.03,0.6775,0.8,1.0,0.3,2.5,7.524,0.2,0.2,0.2,0.26576,1.4274200000000001,Type-dependent dropping,human-vs-human,6,2,,
27,10.0,0.0032985,0.015613,0.5,0.86448,1.185,0.4,5.646,15.0,0.2,0.21121,0.21672,0.2,1.5366900000000001,Type-dependent dropping,human-vs-human,6,3,,
28,2.7712,0.001,0.01,0.50452,0.71124,1.4547,0.30573,4.741,20.071,0.19646,0.27833,0.19631,0.19647,0.9401679999999999,Type-dependent dropping,human-vs-human,6,4,,
29,5.051,0.001,0.02,0.73254,0.8,1.0,0.3,2.5,30.0,0.20571,0.26667,0.2,0.2,1.5735700000000001,Type-dependent dropping,human-vs-human,6,5,,
30,1.0628,0.0050159,0.01996,0.38741,0.47954,1.4975,0.39871,2.5035,14.984,0.21195,0.1992,0.166,0.1992,2.1877699999999995,Type-dependent dropping,human-vs-human,7,1,,
31,0.43897,0.01,0.02,0.5,0.4,1.8107,0.3,5.0,30.0,0.19667,0.2,0.2,0.2,2.51693,Type-dependent dropping,human-vs-human,7,2,,
32,3.8073,0.0099068,0.022929,1.0518,0.40291,0.7639,0.53337,5.175,15.033,0.10235,0.16872,0.20108,0.15829,3.30994,Type-dependent dropping,human-vs-human,7,3,,
33,8.4835,0.01976,0.022966,2.335,0.75628,0.93992,0.29905,3.3299,20.016,0.28929,0.19331,0.19941,0.21717,1.68071,Type-dependent dropping,human-vs-human,7,4,,
34,3.4771,0.014217,0.022024,1.0024,0.54392,1.0,0.33318,2.5,15.0,0.2,0.2,0.2,0.2,2.14452,Type-dependent dropping,human-vs-human,7,5,,
35,3.1049,0.0039165,0.036733,0.97123,0.26045,-0.19836,0.44422,4.2295,15.002,0.19991,0.1999,0.1999,0.2001,1.6737099999999998,Type-dependent dropping,human-vs-human,8,1,,
36,3.394,0.0026373,0.01,0.89587,0.24144,0.43119,0.65048,4.3704,9.76,0.19946,0.0,0.12351,0.23422,2.57448,Type-dependent dropping,human-vs-human,8,2,,
37,6.0,0.0058333,0.04,0.99999,0.4,0.59708,0.5,8.316,20.0,0.15313,0.2317,0.2,0.2,1.41523,Type-dependent dropping,human-vs-human,8,3,,
38,4.2604,0.001,0.01,1.4375,0.88333,0.43983,0.925,5.875,11.0,0.37996,0.0,0.45861,0.26156,2.09421,Type-dependent dropping,human-vs-human,8,4,,
39,4.0388,0.0053148,0.037566,1.0,0.4,-0.070314,0.86088,3.8889,19.368,0.3,0.1,0.2,0.2,1.9764399999999998,Type-dependent dropping,human-vs-human,8,5,,
40,5.8333,0.01,0.02,1.0,0.49773,0.8,0.4,2.5,14.244,0.2,0.099999,0.2,0.2,2.5062800000000003,Type-dependent dropping,human-vs-human,9,1,,
41,5.335,0.02,0.025168,1.0,0.38662,1.0,0.3,2.5,15.0,0.1,0.2,0.1,0.2,3.09495,Type-dependent dropping,human-vs-human,9,2,,
